,Name,total_area
133,"Entorhinal area, lateral part, layer 6a",2018700.3
134,Epithalamus,10410389.66
135,Ethmoid nucleus of the thalamus,3824713.55
136,Fasciola cinerea,964048.7
137,Field CA1,98612853.3
138,Field CA2,7339198.9
139,Field CA3,81756525.9
140,Fields of Forel,3788950.79
141,"Frontal pole, cerebral cortex",257.68
142,"Frontal pole, layer 2/3",257.68
143,Fundus of striatum,6332000.9
144,"Geniculate group, dorsal thalamus",17560104.1
145,"Geniculate group, ventral thalamus",8283639.7
146,"Globus pallidus, external segment",24326845.9
147,"Globus pallidus, internal segment",6569104.5
148,Gustatory areas,24597423.3
149,"Gustatory areas, layer 1",2316869.0
150,"Gustatory areas, layer 2/3",4789827.9
151,"Gustatory areas, layer 4",2063880.52
152,"Gustatory areas, layer 5",7842738.0
153,"Gustatory areas, layer 6a",6969375.0
154,"Gustatory areas, layer 6b",614733.7
155,Hippocampal formation,277499443.7
156,Hippocampal region,247121105.3
157,Hippocampo-amygdalar transition area,577522.9
158,Hypothalamic lateral zone,88598062.84
159,Hypothalamic medial zone,58462893.42
160,Hypothalamus,240017223.7
161,Induseum griseum,1987627.2
162,Interanterodorsal nucleus of the thalamus,1813307.2
163,Interanteromedial nucleus of the thalamus,666666.9
164,Interbrain,549990398.9
165,Intercalated amygdalar nucleus,2787279.0
166,Interfascicular nucleus raphe,215285.9
167,Intergeniculate leaflet of the lateral geniculate complex,1105176.9
168,Intermediate geniculate nucleus,352968.6
169,Intermediodorsal nucleus of the thalamus,2886666.2
170,Interpeduncular nucleus,160966.2
171,"Interpeduncular nucleus, rostral",83090.5
172,"Interpeduncular nucleus, rostrolateral",77875.7
173,Interstitial nucleus of Cajal,483030.4
174,Intralaminar nuclei of the dorsal thalamus,23632704.9
175,Isocortex,1164408561.2
176,Lateral amygdalar nucleus,12858105.950000001
177,Lateral dorsal nucleus of thalamus,15927418.7
178,Lateral group of the dorsal thalamus,45957755.3
179,Lateral habenula,5409554.4
180,Lateral hypothalamic area,31848501.0
181,Lateral mammillary nucleus,1090810.6
182,Lateral posterior nucleus of the thalamus,18680125.4
183,Lateral preoptic area,8963906.5
184,Lateral septal complex,55803380.8
185,Lateral septal nucleus,47867252.1
186,"Lateral septal nucleus, caudal (caudodorsal) part",8735626.3
187,"Lateral septal nucleus, rostral (rostroventral) part",29537317.0
188,"Lateral septal nucleus, ventral part",9594307.7
189,Lateral terminal nucleus of the accessory optic tract,222239.9
190,Lateral visual area,73402.6
191,"Lateral visual area, layer 5",13971.0
192,"Lateral visual area, layer 6a",47450.3
193,"Lateral visual area, layer 6b",11981.2
194,Magnocellular nucleus,5292575.0
195,Mammillary body,12912359.6
196,Medial accesory oculomotor nucleus,107628.8
197,Medial amygdalar nucleus,31396929.49
198,Medial geniculate complex,6115063.9
199,"Medial geniculate complex, dorsal part",991002.8200000001
