,Name,total_area
133,"Entorhinal area, lateral part, layer 6a",1514485.5
134,Epithalamus,5805681.1
135,Ethmoid nucleus of the thalamus,2000508.02
136,Fasciola cinerea,516502.0
137,Field CA1,66662404.6
138,Field CA2,3995035.9
139,Field CA3,48265886.1
140,Fields of Forel,1734461.7
141,Fundus of striatum,3375050.5
142,"Geniculate group, dorsal thalamus",10823794.1
143,"Geniculate group, ventral thalamus",4043179.1
144,"Globus pallidus, external segment",12728156.1
145,"Globus pallidus, internal segment",3333086.9
146,Gustatory areas,10818963.1
147,"Gustatory areas, layer 1",1010045.2
148,"Gustatory areas, layer 2/3",2062228.5
149,"Gustatory areas, layer 4",888764.3200000001
150,"Gustatory areas, layer 5",3376372.4
151,"Gustatory areas, layer 6a",3187360.9299999997
152,"Gustatory areas, layer 6b",294204.27
153,Hippocampal formation,182625812.0
154,Hippocampal region,158533937.8
155,Hippocampo-amygdalar transition area,383413.37
156,Hypothalamic lateral zone,44642542.660000004
157,Hypothalamic medial zone,31583622.5
158,Hypothalamus,125623774.54
159,Induseum griseum,761336.71
160,Interanterodorsal nucleus of the thalamus,973645.3
161,Interanteromedial nucleus of the thalamus,347723.72000000003
162,Interbrain,292760497.94
163,Intercalated amygdalar nucleus,1439957.9
164,Interfascicular nucleus raphe,234512.1
165,Intergeniculate leaflet of the lateral geniculate complex,537199.1
166,Intermediate geniculate nucleus,168848.8
167,Intermediodorsal nucleus of the thalamus,1521916.7
168,Interpeduncular nucleus,288493.2
169,"Interpeduncular nucleus, rostral",138942.8
170,"Interpeduncular nucleus, rostrolateral",149551.0
171,Interstitial nucleus of Cajal,570602.3
172,Intralaminar nuclei of the dorsal thalamus,12954991.7
173,Isocortex,599863363.0
174,Lateral amygdalar nucleus,6593518.9
175,Lateral dorsal nucleus of thalamus,8360397.4
176,Lateral group of the dorsal thalamus,25884894.22
177,Lateral habenula,3014728.2
178,Lateral hypothalamic area,16446478.0
179,Lateral mammillary nucleus,715162.4
180,Lateral posterior nucleus of the thalamus,10393701.7
181,Lateral preoptic area,4616368.86
182,Lateral septal complex,26717140.9
183,Lateral septal nucleus,22899883.8
184,"Lateral septal nucleus, caudal (caudodorsal) part",4485134.8
185,"Lateral septal nucleus, rostral (rostroventral) part",13911089.6
186,"Lateral septal nucleus, ventral part",4503660.3
187,Lateral terminal nucleus of the accessory optic tract,193209.3
188,Lateral visual area,3911643.6100000003
189,"Lateral visual area, layer 1",524407.49
190,"Lateral visual area, layer 2/3",901508.6799999999
