,Name,total_area
0,Accessory supraoptic group,49724.100000000006
1,Agranular insular area,27260253.9
2,"Agranular insular area, dorsal part",5726667.319999999
3,"Agranular insular area, dorsal part, layer 1",355222.7
4,"Agranular insular area, dorsal part, layer 2/3",1129654.49
5,"Agranular insular area, dorsal part, layer 5",2065291.5
6,"Agranular insular area, dorsal part, layer 6a",2019922.62
7,"Agranular insular area, dorsal part, layer 6b",156575.9
8,"Agranular insular area, posterior part",18207612.4
9,"Agranular insular area, posterior part, layer 1",3139312.7
10,"Agranular insular area, posterior part, layer 2/3",5967890.5
11,"Agranular insular area, posterior part, layer 5",5635817.79
12,"Agranular insular area, posterior part, layer 6a",3298879.96
13,"Agranular insular area, posterior part, layer 6b",165787.36
14,"Agranular insular area, ventral part",3327241.35
15,"Agranular insular area, ventral part, layer 1",330565.1
16,"Agranular insular area, ventral part, layer 2/3",1069094.8
17,"Agranular insular area, ventral part, layer 5",1166551.4
18,"Agranular insular area, ventral part, layer 6a",761030.15
19,Ammon's horn,41417659.8
20,Anterior amygdalar area,3415870.7
21,Anterior area,11770375.4
22,"Anterior area, layer 1",1989100.7
23,"Anterior area, layer 2/3",3515303.8
24,"Anterior area, layer 4",1265610.6
25,"Anterior area, layer 5",2894628.4
26,"Anterior area, layer 6a",1794945.5
27,"Anterior area, layer 6b",310786.4
28,Anterior cingulate area,27706865.6
29,"Anterior cingulate area, dorsal part",13109983.2
30,"Anterior cingulate area, dorsal part, layer 1",2377791.89
31,"Anterior cingulate area, dorsal part, layer 2/3",2285902.8
32,"Anterior cingulate area, dorsal part, layer 5",4710710.4799999995
33,"Anterior cingulate area, dorsal part, layer 6a",3574954.6
34,"Anterior cingulate area, dorsal part, layer 6b",160622.4
35,"Anterior cingulate area, ventral part",14596875.4
36,"Anterior cingulate area, ventral part, 6a",2349259.9
37,"Anterior cingulate area, ventral part, 6b",440303.3
38,"Anterior cingulate area, ventral part, layer 1",2691439.1
39,"Anterior cingulate area, ventral part, layer 2/3",3010896.4
40,"Anterior cingulate area, ventral part, layer 5",6104984.5
41,Anterior group of the dorsal thalamus,19134689.5
42,Anterior hypothalamic nucleus,6716331.7
43,Anterior pretectal nucleus,659219.8999999999
44,Anterodorsal nucleus,1498273.7
45,Anterodorsal preoptic nucleus,773785.0
46,Anteromedial nucleus,3987190.2
47,"Anteromedial nucleus, dorsal part",2400557.5
48,"Anteromedial nucleus, ventral part",1586632.9
49,Anteromedial visual area,3520083.7
50,"Anteromedial visual area, layer 1",680305.5
51,"Anteromedial visual area, layer 2/3",1014733.36
52,"Anteromedial visual area, layer 4",253522.8
53,"Anteromedial visual area, layer 5",959547.2
54,"Anteromedial visual area, layer 6a",529022.5
55,"Anteromedial visual area, layer 6b",82952.32
56,Anteroventral nucleus of thalamus,4020938.6
57,Anteroventral periventricular nucleus,1265344.3
58,Anteroventral preoptic nucleus,714891.0
59,Arcuate hypothalamic nucleus,2063423.9
60,Auditory areas,13402346.2
61,Basic cell groups and regions,1307494905.0
62,Basolateral amygdalar nucleus,9395067.7
63,"Basolateral amygdalar nucleus, anterior part",5595320.2
64,"Basolateral amygdalar nucleus, posterior part",1543399.2
65,"Basolateral amygdalar nucleus, ventral part",2256348.9
66,Basomedial amygdalar nucleus,7455865.7
67,"Basomedial amygdalar nucleus, anterior part",5829831.8
68,"Basomedial amygdalar nucleus, posterior part",1626033.9
69,Bed nuclei of the stria terminalis,7605514.5
70,Bed nucleus of the accessory olfactory tract,180675.36000000002
71,Bed nucleus of the anterior commissure,48268.8
72,Brain stem,246084348.6
73,Caudoputamen,191600645.1
74,Central amygdalar nucleus,10480923.4
75,"Central amygdalar nucleus, capsular part",2510514.5
76,"Central amygdalar nucleus, lateral part",2086460.2
77,"Central amygdalar nucleus, medial part",5883948.9
78,Central lateral nucleus of the thalamus,3061129.81
79,Central medial nucleus of the thalamus,2050206.69
80,Cerebral cortex,653841726.5
81,Cerebral nuclei,385130570.3
82,Cerebrum,1068163582.3
83,Claustrum,2807313.6
84,Cortical amygdalar area,8104985.2
85,"Cortical amygdalar area, anterior part",5765722.2
86,"Cortical amygdalar area, posterior part",2339210.9
87,"Cortical amygdalar area, posterior part, lateral zone",1706703.2
88,"Cortical amygdalar area, posterior part, medial zone",632507.7
89,Cortical plate,614456304.3
90,Cortical subplate,39385216.1
91,Dentate gyrus,16554557.1
92,"Dentate gyrus, granule cell layer",4435625.0
93,"Dentate gyrus, molecular layer",10644856.1
94,"Dentate gyrus, polymorph layer",1474076.0
95,Diagonal band nucleus,4950163.0
96,Dorsal auditory area,5457697.2
