,Name,total_area
133,Epithalamus,5367355.5
134,Ethmoid nucleus of the thalamus,2028009.5
135,Fasciola cinerea,454508.4
136,Field CA1,56533208.7
137,Field CA2,3895189.9
138,Field CA3,47423279.8
139,Fields of Forel,2000429.6
140,Fundus of striatum,3439234.1
141,"Geniculate group, dorsal thalamus",9836854.4
142,"Geniculate group, ventral thalamus",4304600.3
143,"Globus pallidus, external segment",12811855.2
144,"Globus pallidus, internal segment",3382931.9
145,Gustatory areas,12224131.6
146,"Gustatory areas, layer 1",1132126.48
147,"Gustatory areas, layer 2/3",2305243.8
148,"Gustatory areas, layer 4",1016411.1
149,"Gustatory areas, layer 5",3810196.3
150,"Gustatory areas, layer 6a",3633341.8
151,"Gustatory areas, layer 6b",326812.3
152,Hippocampal formation,158464890.8
153,Hippocampal region,139223991.3
154,Hippocampo-amygdalar transition area,771702.5
155,Hypothalamic lateral zone,45991086.1
156,Hypothalamic medial zone,30978400.9
157,Hypothalamus,124405869.3
158,Induseum griseum,977729.57
159,Interanterodorsal nucleus of the thalamus,1032577.6
160,Interanteromedial nucleus of the thalamus,450396.7
161,Interbrain,350418800.5
162,Intercalated amygdalar nucleus,1430706.3
163,Interfascicular nucleus raphe,291916.2
164,Intergeniculate leaflet of the lateral geniculate complex,550310.7
165,Intermediate geniculate nucleus,189311.61000000002
166,Intermediodorsal nucleus of the thalamus,1500965.2
167,Interpeduncular nucleus,718667.7
168,"Interpeduncular nucleus, caudal",32241.5
169,"Interpeduncular nucleus, dorsolateral",39848.0
170,"Interpeduncular nucleus, intermediate",34216.85
171,"Interpeduncular nucleus, lateral",59715.270000000004
172,"Interpeduncular nucleus, rostral",405307.19999999995
173,"Interpeduncular nucleus, rostrolateral",147339.2
174,Interstitial nucleus of Cajal,423632.7
175,Intralaminar nuclei of the dorsal thalamus,12169159.6
176,Isocortex,594976996.9
177,Lateral amygdalar nucleus,6505745.22
178,Lateral dorsal nucleus of thalamus,8271238.2
179,Lateral group of the dorsal thalamus,23735238.0
180,Lateral habenula,2766472.8
181,Lateral hypothalamic area,16837848.6
182,Lateral mammillary nucleus,599222.9
183,Lateral posterior nucleus of the thalamus,9570857.4
184,Lateral preoptic area,4251618.9
185,Lateral septal complex,29715452.9
186,Lateral septal nucleus,25422548.5
187,"Lateral septal nucleus, caudal (caudodorsal) part",4658059.6
188,"Lateral septal nucleus, rostral (rostroventral) part",15379901.8
189,"Lateral septal nucleus, ventral part",5384774.3
190,Lateral terminal nucleus of the accessory optic tract,152559.77
191,Magnocellular nucleus,2897108.2
192,Mammillary body,7934425.5
193,Medial accesory oculomotor nucleus,101458.3
194,Medial amygdalar nucleus,15938877.0
195,Medial geniculate complex,3861287.2
196,"Medial geniculate complex, dorsal part",634831.8
197,"Medial geniculate complex, medial part",1757308.8
198,"Medial geniculate complex, ventral part",1469146.7
199,Medial group of the dorsal thalamus,16862300.6
200,Medial habenula,2600883.2
201,Medial mammillary nucleus,4274959.6
202,"Medial mammillary nucleus, dorsal part",645223.9
203,"Medial mammillary nucleus, lateral part",1706867.0
204,"Medial mammillary nucleus, medial part",1063667.0
205,"Medial mammillary nucleus, median part",508490.7
206,"Medial mammillary nucleus, posterior part",350713.6
207,Medial preoptic area,4682829.9
208,Medial preoptic nucleus,3456584.2
209,Medial pretectal area,364398.9
210,Medial septal complex,9285061.6
211,Medial septal nucleus,3702316.4
212,Medial terminal nucleus of the accessory optic tract,390095.6
213,Median eminence,733834.6
214,Median preoptic nucleus,320643.66
215,Mediodorsal nucleus of thalamus,11446951.5
216,Midbrain,76694174.0
217,Midbrain raphe nuclei,1154471.0
218,Midbrain reticular nucleus,11006141.4
219,"Midbrain, behavioral state related",2229603.1
220,"Midbrain, motor related",50095272.6
221,"Midbrain, sensory related",474918.7
222,Midline group of the dorsal thalamus,10294659.4
223,Nucleus accumbens,20014015.6
224,Nucleus of Darkschewitsch,496999.4
225,Nucleus of reuniens,3838741.2
226,Nucleus of the lateral olfactory tract,2429103.0
227,"Nucleus of the lateral olfactory tract, layer 3",455770.4
228,"Nucleus of the lateral olfactory tract, molecular layer",840887.8
229,"Nucleus of the lateral olfactory tract, pyramidal layer",1132444.4
230,Nucleus of the optic tract,1704820.5
231,Nucleus of the posterior commissure,2839161.8
232,Olfactory areas,119219364.1
233,Olfactory tubercle,18614645.5
234,Olivary pretectal nucleus,494672.2
235,Pallidum,73581615.1
236,"Pallidum, caudal region",11865597.8
237,"Pallidum, dorsal region",16194787.0
238,"Pallidum, medial region",12066485.0
239,"Pallidum, ventral region",24095399.8
240,Paracentral nucleus,1963208.3
241,Parafascicular nucleus,3770440.5999999996
242,Paranigral nucleus,36130.97
243,Parastrial nucleus,801751.7000000001
244,Parasubthalamic nucleus,1322761.4
