,Name,total_area
133,Ethmoid nucleus of the thalamus,2877304.7
134,Fasciola cinerea,617808.1
135,Field CA1,59143584.78
136,Field CA2,4483567.2
137,Field CA3,49557823.3
138,Fields of Forel,3073963.3
139,Fundus of striatum,4268449.3
140,"Geniculate group, dorsal thalamus",11636090.2
141,"Geniculate group, ventral thalamus",6617189.8
142,"Globus pallidus, external segment",15064453.4
143,"Globus pallidus, internal segment",3267299.2
144,Gustatory areas,13791463.5
145,"Gustatory areas, layer 1",1260392.94
146,"Gustatory areas, layer 2/3",2597718.22
147,"Gustatory areas, layer 4",1108991.0
148,"Gustatory areas, layer 5",4309139.3
149,"Gustatory areas, layer 6a",4129943.6
150,"Gustatory areas, layer 6b",385279.4
151,Hippocampal formation,179500354.3
152,Hippocampal region,159677848.9
153,Hippocampo-amygdalar transition area,291642.45999999996
154,Hypothalamic lateral zone,60443049.7
155,Hypothalamic medial zone,39835123.0
156,Hypothalamus,158882244.0
157,Induseum griseum,1192991.7
158,Interanterodorsal nucleus of the thalamus,1191158.7
159,Interanteromedial nucleus of the thalamus,470295.6
160,Interbrain,360129986.3
161,Intercalated amygdalar nucleus,1431408.8
162,Interfascicular nucleus raphe,89961.0
163,Intergeniculate leaflet of the lateral geniculate complex,901360.89
164,Intermediate geniculate nucleus,193400.80000000002
165,Intermediodorsal nucleus of the thalamus,1504970.7
166,Interstitial nucleus of Cajal,230102.69999999998
167,Intralaminar nuclei of the dorsal thalamus,16313109.1
168,Isocortex,740722772.6
169,Lateral amygdalar nucleus,9905388.9
170,Lateral dorsal nucleus of thalamus,9270853.33
171,Lateral group of the dorsal thalamus,32243090.0
172,Lateral habenula,3289941.7
173,Lateral hypothalamic area,21058670.0
174,Lateral mammillary nucleus,709873.1
175,Lateral posterior nucleus of the thalamus,13007107.2
176,Lateral preoptic area,6165833.7
177,Lateral septal complex,41954058.9
178,Lateral septal nucleus,35664517.7
179,"Lateral septal nucleus, caudal (caudodorsal) part",7629476.600000001
180,"Lateral septal nucleus, rostral (rostroventral) part",20777376.5
181,"Lateral septal nucleus, ventral part",7257662.3
182,Lateral terminal nucleus of the accessory optic tract,114072.6
183,Magnocellular nucleus,4356456.0
184,Mammillary body,9259466.3
185,Medial accesory oculomotor nucleus,42855.4
186,Medial amygdalar nucleus,19107591.0
187,Medial geniculate complex,3383707.4
188,"Medial geniculate complex, dorsal part",529073.7
189,"Medial geniculate complex, medial part",1662343.8
190,"Medial geniculate complex, ventral part",1192289.8
191,Medial group of the dorsal thalamus,19354844.6
192,Medial habenula,3082130.4
193,Medial mammillary nucleus,3780772.9
194,"Medial mammillary nucleus, dorsal part",374369.4
195,"Medial mammillary nucleus, lateral part",1508579.8
196,"Medial mammillary nucleus, medial part",1135642.5
197,"Medial mammillary nucleus, median part",762331.0
198,Medial preoptic area,5894783.0
199,Medial preoptic nucleus,4322566.8
200,Medial pretectal area,316207.4
201,Medial septal complex,11547217.9
202,Medial septal nucleus,5106887.0
203,Medial terminal nucleus of the accessory optic tract,130393.59999999999
204,Median eminence,984949.9
205,Median preoptic nucleus,384158.7
206,Mediodorsal nucleus of thalamus,13367249.9
207,Midbrain,73034275.7
208,Midbrain raphe nuclei,89961.0
209,Midbrain reticular nucleus,7721312.7
210,"Midbrain, behavioral state related",1114820.4
211,"Midbrain, motor related",41574261.3
212,"Midbrain, sensory related",989662.0
213,Midline group of the dorsal thalamus,11803574.0
214,Nucleus accumbens,20444220.1
215,Nucleus of Darkschewitsch,300767.1
216,Nucleus of reuniens,4166268.7
217,Nucleus of the lateral olfactory tract,3373700.2
218,"Nucleus of the lateral olfactory tract, layer 3",590315.2
219,"Nucleus of the lateral olfactory tract, molecular layer",1189830.9
220,"Nucleus of the lateral olfactory tract, pyramidal layer",1593554.4000000001
221,Nucleus of the optic tract,1948670.0
222,Nucleus of the posterior commissure,2729395.9
223,Olfactory areas,141079368.3
224,Olfactory tubercle,24334660.0
225,Olivary pretectal nucleus,634013.2
226,Pallidum,94397808.2
227,"Pallidum, caudal region",16751659.9
228,"Pallidum, dorsal region",18331751.8
229,"Pallidum, medial region",16791969.0
230,"Pallidum, ventral region",31003664.6
231,Paracentral nucleus,2274328.8
232,Parafascicular nucleus,7067418.1
233,Parastrial nucleus,811354.3
234,Parasubthalamic nucleus,2405733.57
235,Parataenial nucleus,2367280.2
236,Paraventricular hypothalamic nucleus,1785559.2
237,"Paraventricular hypothalamic nucleus, descending division",992608.1
238,Paraventricular nucleus of the thalamus,4395195.9
239,Periaqueductal gray,6895756.2
240,Perifornical nucleus,1779032.5
241,Perireunensis nucleus,1570080.9
242,Perirhinal area,3943414.92
243,"Perirhinal area, layer 1",1306302.52
244,"Perirhinal area, layer 2/3",1831043.7
245,"Perirhinal area, layer 5",735360.64
246,"Perirhinal area, layer 6a",67764.59
247,"Perirhinal area, layer 6b",2942.47
248,"Periventricular hypothalamic nucleus, anterior part",611958.4
249,"Periventricular hypothalamic nucleus, intermediate part",1811404.9000000001
250,"Periventricular hypothalamic nucleus, posterior part",1452066.8
251,"Periventricular hypothalamic nucleus, preoptic part",1619925.7
252,Periventricular region,20682112.6
253,Periventricular zone,7651023.85
254,Piriform area,91023119.4
255,Piriform-amygdalar area,11701759.8
256,Posterior amygdalar nucleus,8811490.2
257,Posterior auditory area,2511402.6
258,"Posterior auditory area, layer 1",419561.30000000005
259,"Posterior auditory area, layer 2/3",602676.4
260,"Posterior auditory area, layer 4",272530.4
261,"Posterior auditory area, layer 5",784609.1
262,"Posterior auditory area, layer 6a",355585.4
263,"Posterior auditory area, layer 6b",76440.23
264,Posterior complex of the thalamus,14164252.6
265,Posterior hypothalamic nucleus,8749559.0276
266,Posterior intralaminar thalamic nucleus,226080.8
267,Posterior limiting nucleus of the thalamus,1449260.0
268,Posterior parietal association areas,26439399.31
269,Posterior pretectal nucleus,1568910.5
270,Posterior triangular thalamic nucleus,2101156.92
271,Posterodorsal preoptic nucleus,155873.90000000002
272,Postpiriform transition area,2294278.0
273,Postsubiculum,45061.8
274,Precommissural nucleus,2698692.6
275,Preparasubthalamic nucleus,69051.8
276,Pretectal region,19452614.1
277,Primary auditory area,21599590.4
278,"Primary auditory area, layer 1",3516930.2
279,"Primary auditory area, layer 2/3",4639723.5
280,"Primary auditory area, layer 4",2323097.8
281,"Primary auditory area, layer 5",7361463.0
282,"Primary auditory area, layer 6a",3198604.3
283,"Primary auditory area, layer 6b",559771.9
284,Primary motor area,56835515.3
285,"Primary motor area, Layer 1",5346100.8
286,"Primary motor area, Layer 2/3",15768502.1
287,"Primary motor area, Layer 5",15776673.7
288,"Primary motor area, Layer 6a",18492308.31
289,"Primary motor area, Layer 6b",1451930.5
290,Primary somatosensory area,239674435.05
291,"Primary somatosensory area, barrel field",62581707.15
292,"Primary somatosensory area, barrel field, layer 1",8231505.5
293,"Primary somatosensory area, barrel field, layer 2/3",14963986.879999999
294,"Primary somatosensory area, barrel field, layer 4",12786252.1
295,"Primary somatosensory area, barrel field, layer 5",12180369.9
296,"Primary somatosensory area, barrel field, layer 6a",12945848.27
297,"Primary somatosensory area, barrel field, layer 6b",1473744.75
298,"Primary somatosensory area, lower limb",24854079.5
299,"Primary somatosensory area, lower limb, layer 1",3217128.3
300,"Primary somatosensory area, lower limb, layer 2/3",6855728.46
301,"Primary somatosensory area, lower limb, layer 4",2877752.8
302,"Primary somatosensory area, lower limb, layer 5",5819203.74
303,"Primary somatosensory area, lower limb, layer 6a",5568218.0
304,"Primary somatosensory area, lower limb, layer 6b",516050.04
305,"Primary somatosensory area, mouth",49866160.2
306,"Primary somatosensory area, mouth, layer 1",4771521.0
307,"Primary somatosensory area, mouth, layer 2/3",9747496.9
