Observation id	Observation date	Description	Observation type	Source	Total duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	47.500	48.850	1.350	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	950	977				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	in empty nest	Not defined	STATE	49.050	54.050	5.000	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	981	1081				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	50.950	52.750	1.800	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1019	1055				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	chemoinvestigation	investigation	STATE	54.950	57.100	2.150	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1099	1142				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	57.200	58.700	1.500	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1144	1174				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	licking and grooming	investigation	STATE	58.750	60.300	1.550	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1175	1206				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	in empty nest	Not defined	STATE	60.950	65.350	4.400	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1219	1307				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	licking and grooming	investigation	STATE	66.100	68.100	2.000	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1322	1362				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	69.450	70.500	1.050	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1389	1410				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	aggressive contact	aggressive behaviour	STATE	70.900	71.250	0.350	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1418	1425				
