mice_ID,estrous_stage,surgery_date,implantation_area,pup_light_cond,status,state_latency,parental_status,experiment_date,
JKAJ15.5e,NA,,MPOA,baseline_food,0,,,14/04/2023,
JKAJ21.2b,NA,,MPOA,baseline_food,0.03,,,,value uncertain
JKAJ21.2c,NA,,MPOA,baseline_food,0.1,,,,value uncertain
JKAJ18.4h,NA,,PVH,baseline_food,0.08,,,,value uncertain
JKAJ19.2d,NA,,PVH,baseline_food,0.12,,,,value uncertain
JKAJ19.2e,NA,,LPOA,baseline_food,0.06,,,,value uncertain
JKAJ21.1d,NA,,LPOA,baseline_food,0.12,,,,value uncertain
JKAJ21.1e,NA,,LPOA,baseline_food,0.09,,,,value uncertain
JKBR1.3g,NA,,LPOA,baseline_food,0.14,,,,value uncertain
JKBR1.3f,NA,,LPOA,baseline_food,0.2,,,,value uncertain
JKBR1.3h,NA,,LPOA,baseline_food,0.17,,,,value uncertain
JKAJ16.2h,NA,24/05/2022,MPOA,60_lighton_food,0.68,918,,09/12/2022,
JKAJ16.2j,NA,24/05/2022,MPOA,60_lighton_food,0.53,842,,09/12/2022,
JKAJ8.9f,NA,15/03/2022,MPOA,60_lighton_food,0,,,14/12/2022,
JKAJ16.2i,NA,24/05/2022,MPOA,60_lighton_food,0.56,1232,,16/12/2022,
JKAJ15.5d,NA,21/12/2022,MPOA,60_lighton_food,0.7,1613,,18/01/2023,
JKAJ15.5b,NA,21/12/2022,MPOA,60_lighton_food,0.5,854,,18/01/2023,
JKAJ15.5a,NA,,MPOA,60_lighton_food,0.5,,,06/02/2023,
JKAJ15.5c,NA,,MPOA,60_lighton_food,0.6,,,07/06/2023,
JKAJ21.2b,NA,,MPOA,60_lighton_food,0.367,1117,,,
JKAJ21.2c,NA,,MPOA,60_lighton_food,0.23,2450,,,
JKAJ18.4h,NA,,PVH,60_lighton_food,0.4,1371,,10/03/2023,
JKAJ18.2i,NA,,PVH,60_lighton_food,0,,,,
JKAJ18.2h,NA,,PVH,60_lighton_food,0.1,,,06/04/2023,
JKAJ19.2d,NA,,PVH,60_lighton_food,0.465,,,14/04/2023,
JKAJ19.2e,NA,,LPOA,60_lighton_food,0.3,,,14/04/2023,
JKAJ21.1d,NA,,LPOA,60_lighton_food,0.069,,,02/05/2023,
JKAJ21.1e,NA,,LPOA,60_lighton_food,0.088,,,02/05/2023,
JKAJ16.2h,NA,24/05/2022,MPOA,60_post_food,0,,,09/12/2022,
JKAJ16.2j,NA,24/05/2022,MPOA,60_post_food,0.02,,,09/12/2022,
JKAJ8.9f,NA,15/03/2022,MPOA,60_post_food,0.1,,,14/12/2022,
JKAJ16.2i,NA,24/05/2022,MPOA,60_post_food,0.26,,,16/12/2022,
JKAJ15.5d,NA,21/12/2022,MPOA,60_post_food,0.5,,,18/01/2023,
JKAJ15.5b,NA,21/12/2022,MPOA,60_post_food,0.2,,,18/01/2023,
JKAJ15.5a,NA,,MPOA,60_post_food,0.4,,,06/02/2023,
JKAJ15.5c,NA,,MPOA,60_post_food,0.1,,,07/06/2023,
JKAJ21.2b,NA,,MPOA,60_post_food,0.21,,,,
JKAJ21.2c,NA,,MPOA,60_post_food,0,,,,
JKAJ18.4h,NA,,PVH,60_post_food,0.4,,,06/04/2023,
JKAJ18.2h,NA,,PVH,60_post_food,0.32,,,,
JKAJ19.2d,NA,,PVH,60_post_food,0.12,,,14/04/2023,
JKAJ19.2e,NA,,LPOA,60_post_food,0.155,,,14/04/2023,
JKAJ21.1d,NA,,LPOA,60_post_food,0.107,,,02/05/2023,
JKAJ21.1e,NA,,LPOA,60_post_food,0.25,,,02/05/2023,
JKBR1.3g,NA,,LPOA,60_lighton_food,0.02,,,28/06/2023,
JKBR1.3g,NA,,LPOA,60_post_food,0.163,,,28/06/2023,
JKBR1.3f,NA,,LPOA,60_lighton_food,0.104,,,29/06/2023,
JKBR1.3f,NA,,LPOA,60_post_food,0.208,,,29/06/2023,
JKBR1.3i,NA,,LPOA,60_lighton_food,0.031,,,29/06/2023,
JKBR1.3i,NA,,LPOA,60_post_food,0.257,,,29/06/2023,
JKBR1.3h,NA,,LPOA,60_lighton_food,0.13,,,29/06/2023,
JKBR1.3h,NA,,LPOA,60_post_food,0.633,,,29/06/2023,
JKBR1.4d,NA,,PVH,60_post_food,0.038,,,14/08/2023,
JKBR1.4e,NA,,PVH,60_lighton_food,0.722,1539,,14/08/2023,
JKBR1.4e,NA,,PVH,60_post_food,0.005,,,14/08/2023,
JKBR1.4g,NA,,PVH,60_lighton_food,0.708,642,,14/08/2023,
JKBR1.4g,NA,,PVH,60_post_food,0.001,,,14/08/2023,
JKBR1.4f,NA,,PVH,60_lighton_food,0.733,767,,14/08/2023,
JKBR1.4f,NA,,PVH,60_post_food,0.005,,,14/08/2023,
JKBR1.4d,NA,,PVH,60_lighton_food,0.176,,,14/08/2023,
JKBR1.4e,NA,,PVH,baseline_food,0.3,,,07/08/2023,
JKBR1.4f,NA,,PVH,baseline_food,0.3,,,07/08/2023,
JKBR1.4g,NA,,PVH,baseline_food,0.3,,,07/08/2023,
JKAJ26.3e,M,,MPOA_control,30_lighton,Agg-,,,23/10/2023,
JKAJ26.3e,NA,,MPOA_control,60_lighton_food,0.058,,,26/10/2023,
JKAJ26.3e,NA,,MPOA_control,60_post_food,0.233,,,26/10/2023,
JKAJ26.3d,E,,MPOA_control,30_lighton,Agg-,,,23/10/2023,
