,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAJ30.1f_ 3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,601.43,5405.5,53.5,27.2103,0.908,10.0866,6.6936,0.7158,254.8848,55310.0,0.32,255.0,254.0,1.0,182.8249,39673.0,16.6671,216.0,147.0,69.0,110.0,38.2465,0.945,13.4944,9.9962,0.6559,254.8442,0.363,255.0,254.0,163.4086,24.4111,216.0,117.0,254.8053,0.3968,255.0,254.0,144.7655,13.8289,173.0,117.0,0.4934
1,JKAJ30.1f_ 3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,744.33,5485.8,39.5,27.3723,0.6625,9.1496,6.7746,0.6331,255.0,41055.0,0.0,255.0,255.0,0.0,171.9814,27689.0,22.2962,223.0,134.0,89.0,98.75,38.3107,0.8455,12.7368,10.6713,0.5216,255.0,0.0,255.0,255.0,145.0965,27.6227,223.0,110.0,255.0,0.0,255.0,255.0,126.5193,10.0739,156.0,110.0,0.4068
2,JKAJ30.1f_ 3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,792.86,5588.6,88.5,36.8476,0.8191,12.5228,10.3557,0.5554,254.9155,90495.0,0.2785,255.0,254.0,1.0,163.5268,58052.0,21.8568,213.0,120.0,93.0,163.75,48.1446,0.8878,16.0555,14.2355,0.4435,254.8798,0.3255,255.0,254.0,138.4794,32.7717,213.0,79.0,254.8378,0.3693,255.0,254.0,109.0364,13.0043,145.0,79.0,0.5386
3,JKAJ30.1f_ 3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,872.59,6107.7,70.75,33.3517,0.7993,10.9755,9.4161,0.3172,254.9931,73948.0,0.0829,255.0,254.0,1.0,157.9897,45817.0,17.6797,194.0,123.0,71.0,140.0,43.5048,0.9295,14.3576,12.9636,0.3639,254.9345,0.2476,255.0,254.0,138.0283,24.8292,194.0,98.0,254.8727,0.3339,255.0,254.0,116.9782,8.535,142.0,98.0,0.5048
4,JKAJ30.1f_ 3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,878.18,6160.3,85.5,41.8235,0.6142,16.8412,7.3056,0.9026,254.8969,88959.0,0.3046,255.0,254.0,1.0,164.0401,57250.0,22.649,202.0,117.0,85.0,172.25,52.1069,0.7972,20.3567,11.0464,0.8503,254.8972,0.3039,255.0,254.0,144.4761,26.7048,202.0,102.0,254.8977,0.3035,255.0,254.0,124.5117,11.3155,158.0,102.0,0.5025
5,JKAJ30.1f_ 3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,403.24,5550.9,64.25,29.9877,0.8978,11.139,7.9388,0.7119,254.8885,66271.0,0.3154,255.0,254.0,1.0,228.1423,59317.0,30.6249,255.0,154.0,101.0,128.5,41.3324,0.9452,14.8302,11.5494,0.6237,254.8967,0.3047,255.0,254.0,182.4932,52.7822,255.0,103.0,254.9051,0.2936,255.0,254.0,135.581,18.3562,179.0,103.0,0.5075
6,JKAJ30.1f_ 3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,412.29,5608.3,65.25,30.747,0.8673,10.2118,8.5511,0.5616,254.8881,68310.0,0.3159,255.0,254.0,1.0,198.3657,53162.0,32.9037,255.0,132.0,123.0,129.5,41.4041,0.9493,13.7706,11.9224,0.4627,254.861,0.3463,255.0,254.0,159.1409,49.1006,255.0,82.0,254.832,0.3746,255.0,254.0,117.092,20.3366,165.0,82.0,0.5189
7,JKAJ30.1f_ 3_Scan1.qptiff - resolution #1_Region 7.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,505.99,5337.6,62.5,31.1567,0.8091,11.6402,7.0674,0.8233,254.9447,64501.0,0.2291,255.0,254.0,1.0,180.2055,45592.0,31.4964,245.0,126.0,119.0,126.75,41.9491,0.9051,15.4193,10.5783,0.7286,254.9566,0.2039,255.0,254.0,150.5049,38.2153,245.0,97.0,254.9685,0.175,255.0,254.0,120.9213,13.1128,160.0,97.0,0.489
8,JKAJ30.1f_2_Scan1.qptiff - resolution #1_Region 7.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,506.13,5229.0,79.0,37.384,0.7103,14.9347,7.5504,0.8668,247.9136,80324.0,0.5325,249.0,247.0,2.0,209.534,67889.0,35.3413,248.0,133.0,115.0,156.75,47.6488,0.8676,18.5902,11.1232,0.8045,247.9601,0.6114,249.0,247.0,171.362,48.6826,248.0,97.0,248.0099,0.6832,249.0,247.0,130.5446,18.4923,191.0,97.0,0.5044
9,JKAJ30.1f_2_Scan1.qptiff - resolution #1_Region 7.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,636.4,5584.9,81.0,41.8565,0.581,13.7805,8.8558,0.6925,254.7934,85101.0,0.4055,255.0,254.0,1.0,188.1527,62843.0,15.9335,219.0,139.0,80.0,166.0,50.2237,0.827,17.3453,12.7241,0.6581,254.819,0.3853,255.0,254.0,171.7677,23.9462,219.0,117.0,254.845,0.3625,255.0,254.0,155.1337,18.6727,205.0,117.0,0.5019
