,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
479,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1273.3,4165.7,85.0,35.7143,0.8374,12.5235,8.9286,0.6495,44.8647,15254.0,15.7345,142.0,32.0,110.0,38.95,13243.0,7.8845,58.0,24.0,34.0,188.0,49.9881,0.9454,16.9992,14.0,0.4999,40.9987,15.8772,175.0,27.0,28.6318,11.1747,58.0,13.0,37.8313,15.299,175.0,27.0,20.1783,4.178,31.0,13.0,0.4462
480,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1463.6,4167.6,28.5,20.1061,0.8859,7.0094,5.3981,0.6135,104.161,12291.0,30.4153,208.0,64.0,144.0,28.0424,3309.0,2.56,32.0,22.0,10.0,94.5,36.1901,0.9067,12.7451,9.3648,0.6687,73.3429,29.5634,208.0,34.0,22.0524,4.9594,32.0,15.0,59.5682,15.4271,95.0,34.0,19.375,3.0695,28.0,15.0,0.2995
481,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1154.9,4170.2,120.5,42.7897,0.827,15.8574,10.0,0.7981,65.1773,31611.0,37.8956,255.0,30.0,225.0,143.2412,69472.0,46.763,248.0,64.0,184.0,250.75,58.5703,0.9185,21.1521,15.0,0.7029,52.8436,30.698,255.0,25.0,93.6464,59.736,248.0,17.0,41.3179,14.4,107.0,25.0,47.3006,20.2771,118.0,17.0,0.4795
482,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1084.6,4172.4,118.0,40.085,0.9228,13.6104,11.4901,0.4694,52.4076,24946.0,13.1883,122.0,29.0,93.0,247.3298,117729.0,22.4454,255.0,129.0,126.0,254.0,57.838,0.9542,19.5963,16.7352,0.4074,48.1337,21.4764,182.0,25.0,171.8486,101.295,255.0,16.0,44.3734,26.1638,182.0,25.0,105.4362,97.0627,255.0,16.0,0.4655
483,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1301.4,4172.3,37.75,25.5385,0.7273,10.5111,4.9696,0.8781,127.0714,19569.0,39.4425,240.0,42.0,198.0,32.7208,5039.0,6.4701,49.0,19.0,30.0,133.0,43.2844,0.8921,15.9109,10.0,0.7659,74.2991,43.4759,240.0,27.0,21.0523,8.5254,49.0,11.0,52.9685,21.0943,131.0,27.0,16.336,2.7933,26.0,11.0,0.2801
484,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1384.1,4172.0,67.75,30.9387,0.8894,10.5007,8.6928,0.5958,66.5292,18229.0,15.5437,120.0,44.0,76.0,30.5,8357.0,5.7819,50.0,22.0,28.0,180.25,48.4951,0.9631,16.3904,14.4251,0.4362,51.6777,16.5947,120.0,27.0,22.5228,7.6336,50.0,12.0,42.6147,8.9086,77.0,27.0,17.6548,3.2969,29.0,12.0,0.3754
485,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1567.7,4175.0,104.5,38.9361,0.8662,12.8747,10.6939,0.5128,41.5495,17617.0,3.4418,50.0,34.0,16.0,108.2076,45880.0,29.4357,177.0,59.0,118.0,241.25,55.9687,0.9678,18.5209,16.6697,0.4123,39.7847,6.1039,82.0,30.0,70.353,39.9797,177.0,17.0,38.4041,7.2694,82.0,30.0,40.7399,13.1142,82.0,17.0,0.4417
486,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1191.8,4178.0,106.25,51.9013,0.4957,14.8159,12.1314,0.464,70.479,30165.0,33.7727,169.0,27.0,142.0,27.7126,11861.0,2.2406,35.0,23.0,12.0,253.5,61.1924,0.8507,20.4229,17.8692,0.387,56.8305,28.2347,169.0,25.0,23.9892,4.4541,35.0,13.0,46.879,17.694,123.0,25.0,21.2743,3.6279,29.0,13.0,0.4168
487,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1353.6,4175.2,38.75,24.0668,0.8407,9.3738,5.6073,0.7854,76.4654,12158.0,19.2537,133.0,48.0,85.0,29.0063,4612.0,4.1331,38.0,22.0,16.0,131.5,41.8298,0.9444,15.202,11.0,0.6582,50.8612,20.8118,133.0,31.0,20.4962,6.2801,38.0,13.0,39.7684,7.2852,76.0,31.0,16.8093,2.0262,23.0,13.0,0.297
488,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1429.5,4176.9,43.25,28.6672,0.6613,10.9482,5.3389,0.8801,96.25,16940.0,41.9148,255.0,48.0,207.0,22.4886,3958.0,3.9655,35.0,17.0,18.0,150.0,46.1565,0.8848,16.7357,11.2754,0.7395,62.9635,35.1409,255.0,28.0,18.0316,3.7679,35.0,13.0,49.2113,19.3507,96.0,28.0,16.1901,1.4055,21.0,13.0,0.2898
