,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
28216,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1531.5,5669.8,92.25,40.007,0.7243,16.2952,8.1383,0.8626,77.1333,28925.0,6.8391,92.0,59.0,33.0,35.888,13458.0,3.9507,44.0,27.0,17.0,203.25,54.494,0.8601,21.2776,13.6718,0.7403,72.5863,9.5135,92.0,49.0,30.3341,6.1337,44.0,19.0,68.7285,9.7624,90.0,49.0,25.6222,2.8099,32.0,19.0,0.4564
28217,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1175.6,5672.1,65.0,32.8439,0.7572,12.6726,7.1448,0.8557,190.0376,50550.0,38.2986,254.0,127.0,127.0,72.906,19393.0,16.9857,105.0,42.0,63.0,183.0,50.2197,0.9118,18.408,12.8766,0.7384,155.4769,41.5904,254.0,85.0,48.8886,21.7982,105.0,23.0,135.917,28.6565,248.0,85.0,35.2957,8.3257,65.0,23.0,0.3565
28218,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1206.7,5669.9,31.5,21.8918,0.826,8.2987,5.4372,0.7198,152.0538,19767.0,25.2787,224.0,115.0,109.0,29.1231,3786.0,1.7028,35.0,26.0,9.0,101.25,37.9134,0.8852,13.1553,10.5,0.5641,135.5858,26.1436,224.0,88.0,25.9265,3.0723,35.0,18.0,127.8849,22.8007,214.0,88.0,24.4317,2.3411,29.0,18.0,0.31
28219,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1191.8,5674.4,65.75,32.905,0.7631,11.5775,8.4628,0.6622,98.5911,26521.0,20.2046,167.0,73.0,94.0,31.6543,8515.0,2.2584,38.0,27.0,11.0,170.5,48.0431,0.9283,15.8904,14.5,0.2173,108.8255,45.787,255.0,62.0,27.8842,3.7353,38.0,21.0,115.4915,55.5588,255.0,62.0,25.4286,2.1024,31.0,21.0,0.3864
28220,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1264.8,5675.5,65.25,31.2042,0.8421,11.1328,8.13,0.7013,143.8674,37981.0,17.6524,181.0,98.0,83.0,51.9583,13717.0,7.2826,68.0,39.0,29.0,142.75,44.8657,0.8912,15.1575,13.1403,0.4787,124.5969,26.9887,181.0,69.0,41.3647,11.5102,68.0,21.0,108.1327,22.2798,174.0,69.0,32.3139,4.7306,44.0,21.0,0.4598
28221,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1275.2,5677.0,34.25,22.9112,0.8199,8.5595,5.7288,0.7801,176.0922,24829.0,26.9931,224.0,122.0,102.0,36.3191,5121.0,3.274,42.0,29.0,13.0,100.75,38.2471,0.8655,14.2463,9.5,0.6943,144.5965,34.4,224.0,76.0,29.8243,6.205,42.0,18.0,127.711,24.7144,187.0,76.0,26.3422,4.3154,40.0,18.0,0.3339
28222,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1474.2,5677.5,52.5,27.9871,0.8423,9.941,7.5903,0.642,108.1336,23465.0,14.5298,154.0,79.0,75.0,28.4424,6172.0,1.6066,32.0,25.0,7.0,155.0,45.0494,0.9598,15.619,13.0,0.485,95.0545,17.2342,154.0,55.0,25.391,2.8506,32.0,18.0,88.0811,14.2573,138.0,55.0,23.7641,1.8618,28.0,18.0,0.3426
28223,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1347.9,5677.5,29.25,22.7267,0.7116,8.0389,5.5504,0.8086,143.8678,17408.0,25.4571,227.0,104.0,123.0,32.6694,3953.0,7.6096,54.0,25.0,29.0,109.25,39.4929,0.8802,13.7252,10.9178,0.6421,131.3257,39.8575,244.0,63.0,27.1185,6.0341,54.0,19.0,126.5535,43.2063,244.0,63.0,25.0063,3.4859,39.0,19.0,0.2717
28224,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1298.1,5679.8,56.25,28.2476,0.8859,10.226,7.0957,0.752,89.0661,20218.0,13.0051,141.0,69.0,72.0,25.6388,5820.0,1.4179,29.0,23.0,6.0,156.0,45.3594,0.9528,15.573,12.5,0.5349,84.3862,20.9169,195.0,54.0,23.0689,2.4337,29.0,18.0,81.7103,23.9177,195.0,54.0,21.5995,1.4901,26.0,18.0,0.3582
28225,JKAX12.1e_MPOA_1_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1256.1,5679.2,10.75,12.058,0.9291,4.4097,3.2846,0.5461,95.6087,4398.0,14.9866,139.0,76.0,63.0,31.2609,1438.0,1.8431,35.0,29.0,6.0,55.25,27.735,0.9026,10.3569,7.4051,0.6574,93.1473,14.9165,154.0,66.0,27.3125,3.22,36.0,20.0,92.5112,14.8743,154.0,66.0,26.2921,2.6647,36.0,20.0,0.1835
