experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz)_1/ISI,isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
S1C1 16062019,F,Unknown,pan-MPOA-virgin,P,BRAC,WT,No_FD,,,tonic,tonic,silent,0.02,0.04,39100,no,0,yes,9.89,118.6,1.8,1.9,268,5,-61.6,-43.6786334,885.1873757,,,,,,,,confirmed
S1C2 16062019,F,Unknown,pan-MPOA-virgin,P,BRAC,WT,No_FD,,,phasic,phasic,silent,1.1,1.3,939,yes,11,yes,6.81,99.4,1.9,1.8,220,,-55.5,-51.90323937,544.9501203,,,,,,,,confirmed
S2C3 16062019,F,Unknown,pan-MPOA-virgin,P,BRAC,WT,No_FD,,,tonic,tonic,silent,3.8,4.1,262,no,0,no,0,77,4.3,3.2,341,12,-43.6,-38.42513615,698.9288039,,,,,,,,confirmed
S2C4 16062019,F,Unknown,pan-MPOA-virgin,P,BRAC,WT,No_FD,,,phasic,phasic,silent,0.7,1.15,1412,no,0,no,0,91,3.5,2.4,338,10,-51.5,-44.66460588,709.7725389,,,,,,,,confirmed
S1C1 27062019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,,tonic,tonic,silent,0.2,0.4,5089,no,0,yes,4.43,106,2,1.7,239,10,-50.3,-42.37482239,644.2120839,,,,,,,,confirmed
S1C2 27062019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,,tonic,tonic,phasic,9.9,10,100,no,0,no,0,67.6,3.2,2.8,256,6,-43,-37.43452777,634.894712,,,,,,,,confirmed
s1c1 29062019,F,Unknown,pan-MPOA-virgin,P,BRAC,WT,No_FD,,,tonic,tonic,phasic,1.6,1.9,634,yes,14.25,yes,21.61,91.4,2.6,2.5,279,,-51.2,-42.9298753,496.0741018,,,,,,,,confirmed
S1C2 29062019,F,Unknown,pan-MPOA-virgin,P,BRAC,WT,No_FD,,,tonic,tonic,phasic,5.1,5.8,194,yes,1.65,yes,12,96.3,3.7,3.1,389,,-55.7,-40.1342035,162.4503403,,,,,,,,confirmed
s1c1 30602019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,silent,1.25,1.6,797,yes,11.81,yes,16.94,118.1,1.08,1.6,169,,-62.7,-49.97633774,454.1496606,,,,,,,,confirmed
s1c2 30602019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,phasic,phasic,silent,0.3,0.7,3661,no,0,no,0,122.2,3.5,2.21,448,,-62.4,-51.17037591,613.0027957,,,,,,,,confirmed
S2C2 30062019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,yes,24.6,yes,19.5,0,0,0,0,,0,-55.66857131,456.6111169,,,,,,,,confirmed
S3C1 30062019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,,0,-57.83631711,629.6118732,,,,,,,,confirmed
s1c1 09072019,F,Unknown,pan-MPOA-virgin,not taken,BRAC,WT,No_FD,,,phasic,phasic,silent,0.08,0.4,12563,yes,22.8,yes,7.51,105.2,1.7,1.7,210,,-66.4,-55.4449623,484.3761143,,,,,,,,confirmed
s1c2 09072019,F,Unknown,pan-MPOA-virgin,not taken,BRAC,WT,No_FD,,,tonic,tonic,silent,3,3.1,334,no,0,no,0,89.4,2.3,2,230,1,-55.8,-46.96837861,629.699846,,,,,,,,confirmed
s2c1 09072019,F,Unknown,pan-MPOA-virgin,not taken,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,4,0,-59.34987009,566.866273,,,,,,,,confirmed
s3c1 09072019,F,Unknown,pan-MPOA-virgin,not taken,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,yes,33,yes,9.8,0,0,0,0,9,0,-58.89601283,751.4477725,,,,,,,,confirmed
s1c1 29072019,F,Unknown,pan-MPOA-virgin,?,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,yes,5.98,yes,2.62,0,0,0,0,18,0,-53.44859139,773.8047417,,,,,,,,confirmed
s1c2 29072019,F,Unknown,pan-MPOA-virgin,?,BRAC,WT,No_FD,,yes,tonic,tonic,silent,0.8,1.7,1236,yes,12.66,yes,3.63,76.1,4.5,2.9,336,24,-42,-33.65929303,549.1027471,,,,,,,,confirmed
s2c1 29072019,F,Unknown,pan-MPOA-virgin,?,BRAC,WT,No_FD,,,phasic,phasic,silent,1.5,2.6,682,no,0,yes,11,136.8,1,1.34,187,,-67.7,-50.00531487,400.9769877,,,,,,,,confirmed
s2c2 29072019,F,Unknown,pan-MPOA-virgin,?,BRAC,WT,No_FD,,,tonic,tonic,silent,2.05,3,487,yes,15.44,yes,3.54,90.8,2.4,1.8,227.5,,-56.5,-39.04949689,440.5341595,,,,,,,,confirmed
S1C1 30072019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,no,0,yes,16.72,0,0,0,0,8,0,-52.4457131,666.4810508,,,,,,,,confirmed
S1C2 30072019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,no,silent,silent,silent,0,0,0,yes,12.15,yes,9.83,0,0,0,0,12,0,-50.931449,654.2066221,,,,,,,,confirmed
S2C1 30072019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,yes,tonic,tonic,silent,3.3,4.2,307,no,0,yes,15.63,90.8,2.2,2,225,6,-55.8,-42.55686322,729.4071417,,,,,,,,confirmed
S3C1 30072019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,phasic,3.2,3.6,315,no,0,no,0,111.6,1.3,1.6,190,4,-63.2,-53.8791989,609.3512016,,,,,,,,confirmed
S3C2 30072019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,no,phasic,phasic,silent,0.2,5,5285,no,0,yes,6.5,98.4,1.8,1.9,202,70,-60.6,-42.81522671,275.6928631,,,,,,,,confirmed
S1C1 02082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,,phasic,phasic,silent,0.3,0.9,3283,yes,21.5,yes,19.1,96.8,1.5,1.6,176,,-54.3,-44.61365002,229.8812704,,,,,,,,confirmed
S1C2 02082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,no,tonic,tonic,silent,10.3,10.8,96.7,no,0,no,0,106.4,0.6,1.4,97,2,-57,-51.00154134,561.4287862,,,,,,,,confirmed
S2C1 02082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,no,tonic,tonic,silent,4.1,4.2,246.7,no,0,yes,3.75,105.7,2,1.9,242,9,-61.2,-47.87877751,294.4161681,,,,,,,,confirmed
S1c1 19082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,yes,tonic,tonic,silent,0.1,0.2,9375,yes,26,yes,13,89.4,2.2,1.9,223,6,-53.1,-34.12664935,330.1679284,,,,,,,,confirmed
S1c2 19082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,,0,-51.95367058,524.0500354,,,,,,,,confirmed
S2c1 19082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,no,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,39,0,-58.80171848,281.8751873,,,,,,,,confirmed
S1C1 29082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,yes,tonic,tonic,silent,2.4,2.8,421,yes,4.61,yes,8.42,44.15,,11,655,11,-36.8,-30.03438943,784.475555,,,,,,,,confirmed
S1C2 29082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,yes,tonic,tonic,silent,0.02,0.02,42413,yes,14,yes,7.14,115.3,2,1.75,272,5,-52.1,-50.45994407,610.6660223,,,,,,,,confirmed
S2C1 29082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,no,phasic,phasic,silent,0.14,0.64,6675,yes,12.6,yes,14.53,110.3,1.7,1.8,217,7,-65.7,-51.20750613,517.7145392,,,,,,,,confirmed
S2C2 29082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,yes,phasic,phasic,silent,0.74,3.9,1321,yes,9.7,yes,6.71,81.6,3.7,2.25,318,6,-45.7,-44.73551264,728.9059234,,,,,,,,confirmed
S1C1 21082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,,tonic,tonic,silent,0.3,4.15,3086,,,,,113.1,1,1.6,139.6,,-66.1,-56.59590494,,,,,,,,,confirmed
S1C2 21082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,yes,tonic,tonic,silent,1.6,2,619,no,0,no,0,95.7,2.7,2.1,293,4,-47.2,-42.6946868,455.7879362,,,,,,,,confirmed
S2C1 21082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,no,silent,silent,silent,0,0,0,no,0,yes,9.46,0,0,0,0,13,0,-50.52052344,444.7702902,,,,,,,,confirmed
S2C2 21082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,yes,tonic,tonic,phasic,3.9,4.3,258,yes,36.53,yes,1.43,81.35,1.6,1.7,160,2,-56.6,-52.11715327,499.0279208,,,,,,,,confirmed
S1C1 01052023,F,Unknown,pan-MPOA-virgin,D,BRAC7560.6e,WT,No_FD,,,tonic,tonic,,0.8,1.1,1265,,,,,72.2,3.4,2.4,255,,-51.4,-40.90409684,,2.692982456,9.8,1,7.7,,,,
S1C1 22072023,F,Unknown,pan-MPOA-virgin,P,BRAC8524.1g,WT,No_FD,,,,,,,,,,,,,,,,,,,,,4.928571429,14.2,1.1,6.4,,,,confirmed
S1C2 22072023,F,Unknown,pan-MPOA-virgin,P,BRAC8524.1g,WT,No_FD,,,tonic,tonic,silent,7.4,7.7,134.3,no,0,yes,8.7,79.2,2.4,1.9,207.6,,-48.7,-42.5556798,346.2361936,1.742857143,9.5,1.1,9.7,,,,confirmed
S2C1 22072023,F,Unknown,pan-MPOA-virgin,P,BRAC8524.1g,WT,No_FD,,,phasic,phasic,silent,0.8,1.1,1263,no,0,yes,5.7,80.6,3.3,6,384,,-45.8,-44.09936962,898.3603221,4.356115108,8.9,1,8.4,,,,confirmed
S1C1 23072023,F,Unknown,pan-MPOA-virgin,E,BRAC8524.1h,WT,No_FD,,no,silent,silent,silent,0,0,0,no,0,yes,4.15,0,0,0,0,45,0,-54.94722762,304.9602509,3.169435216,13.2,1.4,10.1,,,,confirmed
S1C2 23072023,F,Unknown,pan-MPOA-virgin,E,BRAC8524.1h,WT,No_FD,,,phasic,phasic,silent,0.25,0.52,3892,yes,5.6,yes,8.3,88.4,2.8,2.1,274,,-54.3,-48.10527916,858.9724712,0.875,8.5,1.3,,,,,confirmed
S2C1 23072023,F,Unknown,pan-MPOA-virgin,E,BRAC8524.1h,WT,No_FD,,,tonic,tonic,silent,7.18,7.4,139.15,yes,8.8,yes,15.5,81.3,2.24,1.9,200.4,,-50.4,-39.43600716,649.5722748,1.509803922,10.6,0.9,7.9,,,,confirmed
S1C1 23112023,F,Unknown,pan-MPOA-virgin,VS to be stained ,BRAC8913.1d,WT,No_FD,,yes,tonic,tonic,phasic,1.8,2.4,552,no,0,no,0,70.6,3,2.4,248.2,2,-47.1,-42.18936188,734.5748082,5.799180328,18.7,0.8,8.8,,,,confirmed
S1C1 30072023,F,Unknown,pan-MPOA-virgin,D,BRAC8525.1f,WT,No_FD,,no,tonic,tonic,silent,2.7,3.7,374.8,yes,10,yes,16.1,94.8,,,,24,-57.23,-45.248,232.69,,,,,,,,
S2C1 30072023,F,Unknown,pan-MPOA-virgin,D,BRAC8525.1f,WT,No_FD,,no,silent,silent,silent,0,0,0,yes,3.9,yes,4.46,0,0,0,0,65,0,-47.669,154.69,,,,,,,,
s3c1 30072023,F,Unknown,pan-MPOA-virgin,D,BRAC8525.1f,WT,No_FD,,no,tonic,tonic,silent,9.2,9.9,109,no,0,yes,14.5,82.45,2,1.8,198,2,-48.4,-43.249,636.65,,,,,,,,
S1C1 26092023,F,Unknown,pan-MPOA-virgin,P,BRAC7971.7f,WT,No_FD,,no,tonic,tonic,silent,0.07,1,13763,yes,21.3,yes,3.8,95.5,2.2,2.5,261.1,,-53.4,-44.467,545.31,4.022913257,13.8,0.9,9.9,,,,
S2C1 26092023,F,Unknown,pan-MPOA-virgin,P,BRAC7971.7f,WT,No_FD,,,tonic,tonic,silent,0.2,0.6,4435.7,no,0,yes,2.4,88.8,3.1,3.7,360,,-49.2,-39.718,795.71,2.839303319,13.3,0.6,6.9,,,,
S1C1 25092023,F,Unknown,pan-MPOA-virgin,D,BRAC8423.2g,WT,No_FD,,,silent,silent,silent,0,0,0,yes,3.6,yes,6.2,0,0,0,0,,0,-74.348,72.469,,,,,,,,
S2C1 25092023,F,Unknown,pan-MPOA-virgin,D,BRAC8423.2g,WT,No_FD,,yes,tonic ,tonic ,silent,1.9,2.15,531,yes,16.7,yes,8.6,88.2,2.5,3.3,295.7,,-51.9,-40.078,738.59,1.464621475,6.5,1,7.4,,,,
S1C1 19092023,F,Unknown,pan-MPOA-virgin,M,BRAC8423.2f,WT,No_FD,,,phasic,phasic,silent,1.9,2.15,531.2,yes,37,yes,10.8,87.6,2.5,2.3,257,,-51.9,-30.367,913.67,3.520958084,13.7,0.7,10.5,,,,
S2C1 19092023,F,Unknown,pan-MPOA-virgin,M,BRAC8423.2f,WT,No_FD,,,silent,silent,silent ,0,0,0,yes,12,no,0,0,0,0,0,,0,-51.992,868.69,1.690909091,16.2,1,6.3,,,,
S3C1 19092023,F,Unknown,pan-MPOA-virgin,M,BRAC8423.2f,WT,No_FD,,no,phasic ,tonic ,silent,6.35,5.4,185.8,no,0,yes,7.8,96.1,1.8,1.9,209,,-61.4,-56.91,741.86,1.023278371,13.5,1,7.3,,,,
S2C1 18092023,F,Unknown,pan-MPOA-virgin,P<E,BRAC7971.7g,WT,No_FD,,no,tonic ,tonic ,silent,2.4,2.6,413.2,no,0,yes,9.2,78.3,2.3,2.1,198.8,,-43.4,-35.515,728.35,1.970198675,12.3,0.9,7.2,,,,
S1C1 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,No_FD,,no,tonic,tonic,silent,0.07,0.07,13719,no,0,yes,9,90.3,1.5,1.65,172,18,-60.2,-60.6,559.16,2.207236842,16.5,1,7.1,,,,
S1C2 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,No_FD,,no,tonic,tonic,silent,3.8,4.4,264.3,no,0,no,0,84,1.9,2.1,186.7,42,-48.3,-36.849,405.27,1.717116125,10.9,1.3,130.2,,,,
s1c3 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,No_FD,,yes,phasic,phasic,silent,4.74,5.52,210.8,no ,0,yes ,2.84,58.8,4,2.6,241,33,-38.4,-33.512,846,,,,,,,,
s1c4 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,No_FD,,no,tonic,silent,silent,2.9,3.1,346,no,0,yes,12.44,71.5,2.2,2,185.7,6,-50,-42.221,647.61,,,,,,,,
s1c5 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,No_FD,,yes,phasic,phasic,silent,0.95,1.65,1045,no,0,no,0,56,6.7,4.3,364.6,6,-46.4,-40.617,997.68,,,,,,,,
s1c6 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,No_FD,,,tonic,tonic,tonic,13.25,14.1,75.4,no,0,yes,11.1,91.7,1.3,1.7,153,,-60,-45.914,346.16,,,,,,,,
s1c7 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,No_FD,,no,silent,silent,silent ,0,0,0,no,0,no,0,0,0,0,0,,0,-49.357,328.07,,,,,,,,
s1c1 15012024,F,Unknown,pan-MPOA-virgin,M,BRAC 9060.1h,WT,No_FD,,yes,tonic,tonic,silent,9.75,10.04,102.5,no,0,yes,0.85,93.2,1.6,1.9,184.3,12,-54.5,-41.995,621.06,0.029605263,32.6,1.1,,,,,
s1c2 15012024,F,Unknown,pan-MPOA-virgin,M,BRAC 9060.1h,WT,No_FD,,yes,silent,silent,silent,0,0,0,no,0,yes,4.18,0,0,0,0,27,0,-47.14,998.89,,,,,,,,
s1c3 15012024,F,Unknown,pan-MPOA-virgin,M,BRAC 9060.1h,WT,No_FD,,,tonic,tonic,silent,5,5.2,200,no,0,yes,8,77.45,2.45,2.3,226.9,9,-45.9,-39.776,697.9,1.15920398,,,,,,,
S1C1 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,,,,,,,,,,,,,,,,,,,,,0.792168675,15.23,1,15.4,,,Cell lost only synaptic,
S1C2 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,,,,,,,,,,,,,,,,,,,,,0.48,11.048,1.1,10.482,,,,
S1C3 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,35.06807322,yes,silent,silent,silent,0,0,0,no,0,yes,5.55,0,0,0,0,27,0,-39.04526531,829.7533337,0.08,8.47,1.4,19.893,,,,
S1C4 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,75.04782868,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,27,0,-50.48657332,738.8341802,3.15,8,1.1,10.739,,,,
S1C5 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,39.65843322,yes,tonic,tonic,silent,1.59,2.1,629,,,,,104.5,2.1,1.59,314,9,-58.2,-42.50521648,,3.076433121,14.078,1,9.256,,,Forgot i/v curve,
S1C6 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,23.91883554,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,30,0,-62.38564036,973.294741,2.173333333,8.7475,1,8.021,,,,
S1C1 24012023,F,Unknown,virgin,P to E,BRAC7344.5d,WT,Agg+,49.9243327,?,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,130,0,-62.07669346,292.9436713,0.450847458,7.1968,1.3,10.529,,,,
S1C2 24012023,F,Unknown,virgin,P to E,BRAC7344.5d,WT,Agg+,34.89111732,yes,tonic,tonic,silent,0.83,1.17,1190,no,0,no,0,87.46,2.66,1.37,210,24,-51.35,-37.25370896,741.7270756,2.173333333,12.24,0.9,5.1697,,,,
S1C3 24012023,F,Unknown,virgin,P to E,BRAC7344.5d,WT,Agg+,58.73685591,no,tonic,tonic,silent,0.56,1,1779,no,0,no,0,98.4,1.72,0.78,156,30,-56.35,-43.91255068,606.7517525,4.176470588,15.179,0.9,7.13,,,,
s1c1 21022023,F,Unknown,virgin,P to E,BRAC7344.5c,WT,Agg+,30.39403974,yes,silent,silent,silent,0,0,0,no,0,yes,1.04,0,0,0,0,3,0,-44.69640829,791.17,0.186666667,11.43,1.8,27.11,,,,
s2c1 21022023,F,Unknown,virgin,P to E,BRAC7344.5c,WT,Agg+,55.60470701,yes,phasic,phasic,silent,0.47,0.81,2110,yes,26.14,yes,7.57,77.49,9.06,4.13,461,2,-44.58,-38.93018506,989.94,0.566666667,9.96,1.6,10.64,,,,
s2c2 21022023,F,Unknown,virgin,P to E,BRAC7344.5c,WT,Agg+,31.23081925,yes,silent,silent,silent,0,0,0,no,0,yes,9.25,0,0,0,0,14,0,-48.25553292,704.299,1.743333333,12.98,1.3,7.26,,,,
s1c1 15022023,F,Unknown,virgin,E,JKAM55.2d,WT,Agg+,43.45218801,yes,silent,silent,silent,0,0,0,yes,19.9,yes,11.26,0,0,0,0,8,0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
s1c2 15022023,F,Unknown,virgin,E,JKAM55.2d,WT,Agg+,20.13100437,yes,phasic,phasic,silent,0.16,0.66,6078,no,0,no,0,79.7,5.19,3.06,420,3,-51.94,-48.37390838,791.6,0.091891892,10.67,1.4,4.82,,,,
s1c3 15022023,F,Unknown,virgin,E,JKAM55.2d,WT,Agg+,24.21464108,yes,phasic,phasic,silent,0.36,0.79,2725,yes,6.68,yes,4.52,82.24,3.8,1.58,286,3,-56.75,-49.49449883,1131.4,1.343234323,18.46,1.1,5.35,,,,
s1c4 15022023,F,Unknown,virgin,E,JKAM55.2d,WT,Agg+,,no,phasic,phasic,silent,1.31,2.24,758,no,0,yes,1.92,108,3.23,6.2,505,36,-52.2,-37.8437814,787.9,,,,,,,Only 1 event detected for synaptic ,
S1C1 27022023,F,Unknown,virgin,D,JKAM55.4h,WT,Agg+,50.97922849,no,phasic,phasic,silent,0.91,2.82,1095,no,0,yes,3.33,98.9,1,0.62,103,,-51.5,-46.5509606,554,0.835205993,12.33,1.3,9.82,,,,
S1C2 27022023,F,Unknown,virgin,D,JKAM55.4h,WT,Agg+,69.66403162,no,silent,silent,silent,0,0,0,no,0,yes,3.45,0,0,0,0,9,0,-60.53016523,689.6,0.603174603,24.075,1.2,6.2,,,,
S1C1 31052023,F,Unknown,virgin,D to P,BRAC7921.4f,WT,Agg+,,yes,tonic,tonic,silent,0.72,1,1384,no,0,no,0,72,4.6,3,357,3,-51.5,-45.09034517,1097.2953,0.371710526,13.9,1.1,4.45,,,,
S2C1 31052023,F,Unknown,virgin,D to P,BRAC7921.4f,WT,Agg+,,no,silent,silent,silent,0,0,0,no,0,yes,4.49,0,0,0,0,39,0,-57.90349104,609.1796489,10.57432432,11.23,1.1,9.75,,,,
S3C1 31052023,F,Unknown,virgin,D to P,BRAC7921.4f,WT,Agg+,,no,phasic,phasic,silent,0.5,1,2006,yes,21.5,yes,3.11,99,1.6,1.7,192,3,-56.4,-42.65598319,786.9473665,4.773333333,13.45,0.9,6.1,,,,
S3C2 31052023,F,Unknown,virgin,D to P,BRAC7921.4f,WT,Agg+,,no,tonic,tonic,silent,1,1.3,1026,yes,17,yes,4.97,84,2.26,1.81,214,20,-52.5,-38.79067276,762.8245367,4.699186992,10.7,1.1,8.4,,,,
s1c3 14022023,F,yes,virgin-Gal+,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,50.52123288,no,silent,silent,silent,0,0,0,no,0,yes,3.54,0,0,0,0,18,0,-45.18191627,777,0.338435374,8.06,1.9,10.6,,,,
s1c1 22022023,F,yes,virgin-Gal+,M,JKAM 54.2c,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,42.99905838,no,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,28,0,-36.43496245,919.05,7.616666667,13.8,1.5,12.61,,,,
s1c2 22022023,F,yes,virgin-Gal+,M,JKAM 54.2c,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,17.49836921,yes,tonic,tonic,silent,3.39,3.89,294,no,0,no,0,80.45,4.23,2.18,314,6,-43.15,-30.96984064,857.4,0.960130187,12.7,1.5,7.44,,,,
s1c3 22022023,F,yes,virgin-Gal+,M,JKAM 54.2c,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,25.93632959,no,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,18,0,-53.66810027,904.4,8.165584416,14.35,1.2,10.46,,,,
s1c5 22022023,F,yes,virgin-Gal+,M,JKAM 54.2c,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,78.76506024,yes,tonic,tonic,silent,2.63,2.85,378,yes,,yes,17.64,65.4,3.61,1.49,205,14,-46,-40.97496569,547.26,2.175226586,13.32,1.5,14.54,,,,
S1C1 12022024,F,yes,virgin-Gal+,M,JKAM67.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,yes,silent,silent,silent,0,0,0,yes,6,yes,12,0,0,0,0,18,0,-45.845189,647.3572669,2.033786022,12.8,1,9.4,,,,
S1C2 12022024,F,yes,virgin-Gal+,M,JKAM67.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,35,0,-32.19148836,323.4172696,2.196124486,9.5,0.6,9.8,,,,
S1C3 12022024,F,yes,virgin-Gal+,M,JKAM67.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,yes,phasic,phasic,silent,0.64,1.1,1549,yes,6.9,yes,3.05,64.95,3,2.41,203.3,27,-45.3,-34.46571607,465.3907374,2.934285714,8.1,0.8,18.1,,,,
S1C4 12022024,F,yes,virgin-Gal+,M,JKAM67.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,,silent,silent,silent,0,0,0,,,,,0,0,0,0,,0,-38.8776793,,0.261930391,6.2,0.7,17.7,LOST/no Ramp/no i/v,,,
s1c4 14022023,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,51.875,yes,silent,silent,silent,0,0,0,yes,4.79,yes,4.21,0,0,0,0,18,0,-54.94343857,922.04,1.091803279,13.41,1.3,7.82,,,,
s1c4 22022023,F,no,virgin-Gal-,M,JKAM 54.2c,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,30.92623942,yes,silent,silent,silent,0,0,0,no,0,yes,4.33,0,0,0,0,27,0,-55.79595598,964.475,2.766666667,8.37,1.3,11.15,,,,
s1c1 14022023,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0,0,0,no,0,yes,4.61,0,0,0,0,110,0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
s1c2 14022023,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,37.38005051,no,tonic,tonic,phasic,10.26,10.4,97.42,yes,29.24,no,0,98.4,1.71,0.62,132,3,-53.7,-47.42190501,635.432,0.881578947,16.25,1,6.94,,,,
S1C1 04032024,F,no,virgin-Gal-,?,JKAM68.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,,silent,silent,silent,0,0,0,yes,1.3,no,0,0,0,0,0,,0,-37.59640421,,,,,,,,,
s1c1 18042024,F,no,virgin-Gal-,D,JKAM65.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,no,tonic,tonic,silent,0.1,0.6,9200,yes,10.5,yes,4.39,80.5,2,1.7,183.5,,-51.2,-45.08204358,726.7243409,10.53972603,9.3,0.9,12.5,,,,
s1c2 18042024,F,no,virgin-Gal-,D,JKAM65.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,no,silent,silent,silent,0,0,0,no,0,yes,2.17,0,0,0,0,45,0,-34.3148654,503.1694954,3.806216931,11.4,1,8.5,,,,
s1c1 18042024,F,no,virgin-Gal-,D,JKAM65.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,yes,tonic,tonic,silent,0.4,1,2774,yes,19.4,yes,7.23,79.5,1.9,1.8,178.7,15,-50.9,-37.72507624,721.9814549,2.29276407,12.6,1,8.8,,,,
s1c1 18042024,F,no,virgin-Gal-,D,JKAM65.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,,,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,130,0,-52.73039783,634.3214314,12.06886045,13.1,0.8,9.6,,,,
