experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz)_1/ISI,isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
s1c1 241019,F,yes,virgin,D,JKAM2.1f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,26.8288,yes,tonic,tonic,silent,0.23,0.43,4259,yes,11.6,no,0,95.8498,2.36,1.17,214,39,-56.1,-43.5639,409.8482336,0.659898477,4.9142,,,0,0.11,,
S1C1 231019,F,yes,virgin,M,JKAM3.1g,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,19.5205,yes,tonic,tonic,silent,0.45,1.13,2198,no,0,no,0,97.3,2.85,2.35,311,11,-52,-41.5682,745.5667659,,,,,0,0,,
S1C2 231019,F,yes,virgin,M,JKAM3.1g,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,40.3636,no,tonic,tonic,silent,0.65,0.99,1520,no,0,no,0,101.1,3.15,3,280.4,22,-51.7,-43.5352,693.6553578,,,,,0,0,,
s4c1 061019,F,yes,virgin,E,JKAM1.1f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,161.846,no,tonic,tonic,phasic,1.46,1.5,682,no,0,no,0,96.7,2.65,1.08,232.5,21,-52.3,-45.4722,471.3891706,,,,,0,0.23,,
S3C1 04102019,F,yes,virgin,D,JKAM1.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,71.706,no,tonic,tonic,silent,1.15,1.18,867,no,0,yes,2.78,98.3,4.11,2.74,440,12,-61.5,-49.2502,463.6484288,,,,,0,0,,
S4C1 04102019,F,yes,virgin,D,JKAM1.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,48.7161,yes,tonic,tonic,phasic,2.71,2.8,368,yes,6.41,yes,6.41,97,2.19,2.25,248,3,-53,-43.1718,952.6073625,0.212903226,7.3128,,,0,0.13,,
s1c1 02102019,F,yes,virgin,M,JKAM1.1d,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,67.8108,no,tonic,tonic,silent,5.17,5.29,193,no,0,yes,2.5,112.9,1.08,1.79,167.8,21,-61.06,-46.8623,471.5676749,,,,,0,0,,
S1C1 11082020,F,yes,virgin,P,JKAM10.3h,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,34.0198,yes,tonic,tonic,bursty,2.32,2.67,430,yes,5.86,yes,1.71,44.91,5.46,3.39,285.3,15,-36.2,-32.1238,415.003,,,,,0,0.39,,
S1C2 11082020,F,yes,virgin,P,JKAM10.3h,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,17.6568,yes,tonic,tonic,phasic,3.35,4.37,297,yes,45,yes,10.8,42.67,20.31,16.38,1214,4,-40.5,-34.9101,609.336,2.215010142,10.276,,,0,0.49,,
S2C1 11082020,F,yes,virgin,P,JKAM10.3h,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,22.6606,yes,tonic,tonic,silent,8.77,8.97,113,no,0,no,0,48.83,8.55,4.75,385,5,-36.01,-31.4391,1018.294663,1.5859375,15.211,,,0,0.52,,
s2c1 02102019,F,yes,virgin,M,JKAM1.1d,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,46.6047,no,tonic,tonic,phasic,2.41,2.53,414,no,0,yes,8.42,108.57,0.64,1.43,105.9,6,-63.05,-49.5659,853.702263,,,,,0,0.186,,
S1C2 16102020,F,yes,virgin,E,JKAM9.5f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,28.968,no,tonic,tonic,phasic,3.79,4.5,263,yes,8.24,yes,12.42,81.53,2.05,2.27,202,2,-54.6,-48.31592907,852.0210985,1.908045977,9.4326,,,0,0.168,,
S1C3 16102020,F,yes,virgin,E,JKAM9.5f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,32.4547,yes,tonic,tonic,silent,3.96,4.12,252,yes,3.92,yes,3.63,76.63,3.07,4.65,329,2,-45.05,-39.41538178,1050.796686,0.898617512,12.179,,,0,0,,
S2C1 16102020,F,yes,virgin,E,JKAM9.5f,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,60.672,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,12,0,-44.85127465,739.4420839,0.146875,10.821,,,0,0,,
S1C1 23102020,F,yes,virgin,M,JKAM16.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,39.8387,yes,tonic,tonic,silent,1.81,2.04,550,no,0,no,0,97.2,4.48,10.76,707,12,-57.44,-42.32774029,1076.136189,5.152173913,26.403,,,0,0,,
S1C2 23102020,F,yes,virgin,M,JKAM16.1e,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,30.592,yes,phasic,phasic,silent,0.65,2.44,1526,yes,26.86,yes,9.19,96.31,2.24,4.91,342,7,-49.7,-49.76390682,761.0717881,0.111344538,9.2327,,,0.19,0,,
