,filename,Injected,Unnamed: 0_x,Event,Event start ,Event end ,Ramp_start,Ramp_end,Unnamed: 0_y,sex_x,Gal_positive_x,state_x,estrous_stage_x,ID_mouse_x,Genotype_x,Behaviour_6hFD,Cm(pF)_x,Adaptive_x,I_zero_x,I_zero_reclassified_x,60mV_x,Firing_freq_(Hz)_I0_x,Instant_freq_(Hz)_x,isi_(ms)_x,cat_categ_x,CaT_x,Ih_x,Ih_at_-120mV_x,AP_ampl_x,AP_halfwidth_x,AP_time_to_peak_x,area(mV_ms)_x,rheobase_at_-60mV_(pA)_x,AHP_(mV)_x,Vm_x,Input_Resistance_x,sPSC_frequency_x,sPSC_Amplitude(pA)_x,sPSCs_Rise time_x,sPSCs (decay)_x,AC-I0_x,AC_-60_x,Comments_x,Unnamed: 35_x,latency,num_spike,Unnamed: 0,sex_y,Gal_positive_y,state_y,estrous_stage_y,ID_mouse_y,Genotype_y,Cm(pF)_y,Adaptive_y,I_zero_y,I_zero_reclassified_y,60mV_y,Firing_freq_(Hz)_I0_y,Instant_freq_(Hz)_y,isi_(ms)_y,cat_categ_y,CaT_y,Ih_y,Ih_at_-120mV_y,AP_ampl_y,AP_halfwidth_y,AP_time_to_peak_y,area(mV_ms)_y,rheobase_at_-60mV_(pA)_y,AHP_(mV)_y,Vm_y,Input_Resistance_y,sPSC_frequency_y,sPSC_Amplitude(pA)_y,sPSCs_Rise time_y,sPSCs (decay)_y,AC-I0_y,AC_-60_y,Comments_y,Unnamed: 35_y
0,S1C1 14022023,25,0,1,2080.0,0.0,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,1000.0,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
1,S1C1 14022023,35,1,2,2080.0,0.0,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,1000.0,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
2,S1C1 14022023,45,2,3,2080.0,0.0,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,1000.0,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
3,S1C1 14022023,55,3,4,2080.0,0.0,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,1000.0,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
4,S1C1 14022023,65,4,5,2080.0,0.0,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,1000.0,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
5,S1C1 14022023,75,5,6,2080.0,0.0,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,1000.0,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
6,S1C1 14022023,85,6,7,2080.0,0.0,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,1000.0,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
7,S1C1 14022023,95,7,8,2080.0,0.0,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,1000.0,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
8,S1C1 14022023,105,8,9,2027.10144042968,2028.6015625,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,947.10144042968,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
9,S1C1 14022023,115,9,10,1972.10144042968,1973.49621582031,1080.0,2080.0,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),Agg+,72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,,892.10144042968,1,269,F,no,virgin-Gal-,M,JKAM 55.2e,Gal-cre KI87; Rosa26 Tomato (Ai9),72.46212121,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.61,0.0,0.0,0.0,0.0,110.0,0.0,-58.47140187,166.1,1.797900262,9.9,1.5,9.86,,,,
