,experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,aggressive,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz),isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
96,S1C2 22072023,F,Unknown,pan-MPOA-virgin,P,BRAC8524.1g,WT,Pre,,,,tonic,tonic,silent,7.4,7.7,134.3,no,0.0,yes,8.7,79.2,2.4,1.9,207.6,,-48.7,-42.5556798,346.2361936,1.742857143,9.5,1.1,9.7,,,,confirmed
97,S2C1 22072023,F,Unknown,pan-MPOA-virgin,P,BRAC8524.1g,WT,Pre,,,,phasic,phasic,silent,0.8,1.1,1263.0,no,0.0,yes,5.7,80.6,3.3,6.0,384.0,,-45.8,-44.09936962,898.3603221,4.356115108,8.9,1.0,8.4,,,,confirmed
98,S1C1 23072023,F,Unknown,pan-MPOA-virgin,E,BRAC8524.1h,WT,Pre,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.15,0.0,0.0,0.0,0.0,45.0,0.0,-54.94722762,304.9602509,3.169435216,13.2,1.4,10.1,,,,confirmed
99,S1C2 23072023,F,Unknown,pan-MPOA-virgin,E,BRAC8524.1h,WT,Pre,,,,phasic,phasic,silent,0.25,0.52,3892.0,yes,5.6,yes,8.3,88.4,2.8,2.1,274.0,,-54.3,-48.10527916,858.9724712,0.875,8.5,1.3,,,,,confirmed
100,S2C1 23072023,F,Unknown,pan-MPOA-virgin,E,BRAC8524.1h,WT,Pre,,,,tonic,tonic,silent,7.18,7.4,139.15,yes,8.8,yes,15.5,81.3,2.24,1.9,200.4,,-50.4,-39.43600716,649.5722748,1.509803922,10.6,0.9,7.9,,,,confirmed
101,S1C1 23112023,F,Unknown,pan-MPOA-virgin,VS to be stained,BRAC8913.1d,WT,Pre,,,yes,tonic,tonic,phasic,1.8,2.4,552.0,no,0.0,no,0.0,70.6,3.0,2.4,248.2,2.0,-47.1,-42.18936188,734.5748082,5.799180328,18.7,0.8,8.8,,,,confirmed
102,S1C1 30072023,F,Unknown,pan-MPOA-virgin,D,BRAC8525.1f,WT,Pre,,,no,tonic,tonic,silent,2.7,3.7,374.8,yes,10.0,yes,16.1,94.8,,,,24.0,-57.23,-45.248,232.69,,,,,,,,
103,S2C1 30072023,F,Unknown,pan-MPOA-virgin,D,BRAC8525.1f,WT,Pre,,,no,silent,silent,silent,0.0,0.0,0.0,yes,3.9,yes,4.46,0.0,0.0,0.0,0.0,65.0,0.0,-47.669,154.69,,,,,,,,
104,S3C1 30072023,F,Unknown,pan-MPOA-virgin,D,BRAC8525.1f,WT,Pre,,,no,tonic,tonic,silent,9.2,9.9,109.0,no,0.0,yes,14.5,82.45,2.0,1.8,198.0,2.0,-48.4,-43.249,636.65,,,,,,,,
105,S1C1 26092023,F,Unknown,pan-MPOA-virgin,P,BRAC7971.7f,WT,Pre,,,no,tonic,tonic,silent,0.07,1.0,13763.0,yes,21.3,yes,3.8,95.5,2.2,2.5,261.1,,-53.4,-44.467,545.31,4.022913257,13.8,0.9,9.9,,,,
106,S2C1 26092023,F,Unknown,pan-MPOA-virgin,P,BRAC7971.7f,WT,Pre,,,,tonic,tonic,silent,0.2,0.6,4435.7,no,0.0,yes,2.4,88.8,3.1,3.7,360.0,,-49.2,-39.718,795.71,2.839303319,13.3,0.6,6.9,,,,
107,S1C1 25092023,F,Unknown,pan-MPOA-virgin,D,BRAC8423.2g,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,yes,3.6,yes,6.2,0.0,0.0,0.0,0.0,,0.0,-74.348,72.469,,,,,,,,
108,S2C1 25092023,F,Unknown,pan-MPOA-virgin,D,BRAC8423.2g,WT,Pre,,,yes,tonic,tonic,silent,1.9,2.15,531.0,yes,16.7,yes,8.6,88.2,2.5,3.3,295.7,,-51.9,-40.078,738.59,1.464621475,6.5,1.0,7.4,,,,
109,S1C1 19092023,F,Unknown,pan-MPOA-virgin,M,BRAC8423.2f,WT,Pre,,,,phasic,phasic,silent,1.9,2.15,531.2,yes,37.0,yes,10.8,87.6,2.5,2.3,257.0,,-51.9,-30.367,913.67,3.520958084,13.7,0.7,10.5,,,,
110,S2C1 19092023,F,Unknown,pan-MPOA-virgin,M,BRAC8423.2f,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,yes,12.0,no,0.0,0.0,0.0,0.0,0.0,,0.0,-51.992,868.69,1.690909091,16.2,1.0,6.3,,,,
111,S3C1 19092023,F,Unknown,pan-MPOA-virgin,M,BRAC8423.2f,WT,Pre,,,no,phasic,tonic,silent,6.35,5.4,185.8,no,0.0,yes,7.8,96.1,1.8,1.9,209.0,,-61.4,-56.91,741.86,1.023278371,13.5,1.0,7.3,,,,
112,S2C1 18092023,F,Unknown,pan-MPOA-virgin,P<E,BRAC7971.7g,WT,Pre,,,no,tonic,tonic,silent,2.4,2.6,413.2,no,0.0,yes,9.2,78.3,2.3,2.1,198.8,,-43.4,-35.515,728.35,1.970198675,12.3,0.9,7.2,,,,
113,S1C1 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,Pre,,,no,tonic,tonic,silent,0.07,0.07,13719.0,no,0.0,yes,9.0,90.3,1.5,1.65,172.0,18.0,-60.2,-60.6,559.16,2.207236842,16.5,1.0,7.1,,,,
114,S1C2 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,Pre,,,no,tonic,tonic,silent,3.8,4.4,264.3,no,0.0,no,0.0,84.0,1.9,2.1,186.7,42.0,-48.3,-36.849,405.27,1.717116125,10.9,1.3,130.2,,,,
115,S1C3 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,Pre,,,yes,phasic,phasic,silent,4.74,5.52,210.8,no,0.0,yes,2.84,58.8,4.0,2.6,241.0,33.0,-38.4,-33.512,846.0,,,,,,,,
116,S1C4 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,Pre,,,no,tonic,silent,silent,2.9,3.1,346.0,no,0.0,yes,12.44,71.5,2.2,2.0,185.7,6.0,-50.0,-42.221,647.61,,,,,,,,
117,S1C5 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,Pre,,,yes,phasic,phasic,silent,0.95,1.65,1045.0,no,0.0,no,0.0,56.0,6.7,4.3,364.6,6.0,-46.4,-40.617,997.68,,,,,,,,
118,S1C6 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,Pre,,,,tonic,tonic,tonic,13.25,14.1,75.4,no,0.0,yes,11.1,91.7,1.3,1.7,153.0,,-60.0,-45.914,346.16,,,,,,,,
119,S1C7 05012024,F,Unknown,pan-MPOA-virgin,P,BRAC8950.1g,WT,Pre,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,,0.0,-49.357,328.07,,,,,,,,
120,S1C1 15012024,F,Unknown,pan-MPOA-virgin,M,BRAC 9060.1h,WT,Pre,,,yes,tonic,tonic,silent,9.75,10.04,102.5,no,0.0,yes,0.85,93.2,1.6,1.9,184.3,12.0,-54.5,-41.995,621.06,0.029605263,32.6,1.1,,,,,
121,S1C2 15012024,F,Unknown,pan-MPOA-virgin,M,BRAC 9060.1h,WT,Pre,,,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.18,0.0,0.0,0.0,0.0,27.0,0.0,-47.14,998.89,,,,,,,,
122,S1C3 15012024,F,Unknown,pan-MPOA-virgin,M,BRAC 9060.1h,WT,Pre,,,,tonic,tonic,silent,5.0,5.2,200.0,no,0.0,yes,8.0,77.45,2.45,2.3,226.9,9.0,-45.9,-39.776,697.9,1.15920398,,,,,,,
123,S1C2 20032025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,5.65,0.0,0.0,0.0,0.0,12.0,0.0,-36.4063151,1021.487354,,,,,,,,
124,S1C3 20032025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,yes,10.0,yes,23.0,0.0,0.0,0.0,0.0,39.0,0.0,-35.44683859,536.4267582,,,,,,,,
125,S1C5 20032025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,3.91,0.0,0.0,0.0,0.0,15.0,0.0,-24.33532789,990.3164189,,,,,,,,
126,S1C1 01042025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,,,tonic,tonic,phasic,9.4,9.6,106.6,no,0.0,yes,1.71,70.0,1.97,2.0,171.8,3.0,-59.1,-48.28605707,683.1170524,,,,,,,,
127,S1C3 01042025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,yes,8.1,yes,15.5,0.0,0.0,0.0,0.0,7.0,0.0,-48.26381743,623.5218883,,,,,,,,
128,S1C4 01042025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,,,tonic,tonic,silent,9.8,10.0,102.1,yes,28.1,yes,5.6,75.5,2.0,1.6,169.4,6.0,-43.6,-38.09357336,744.891554,,,,,,,,
129,S1C5 01042025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,,,tonic,tonic,silent,3.52,3.84,283.6,,,,,94.8,4.1,2.72,396.6,3.0,-59.6,-47.04540371,,,,,,,,,
130,S1C6 01042025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,,,phasic,phasic,silent,3.1,4.3,322.9,,,,,60.4,6.2,3.1,363.0,3.0,-35.3,-30.33861474,,,,,,,,,
131,S1C7 01042025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,,,tonic,tonic,silent,0.74,0.97,1341.0,yes,18.95,yes,12.7,89.1,2.3,2.1,236.8,9.0,-55.5,-39.57834743,779.6525039,,,,,,,,
132,S1C9 01042025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,,,phasic,phasic,silent,1.9,3.24,527.6,no,0.0,no,0.0,64.9,3.9,2.8,266.9,27.0,-45.3,-36.85260301,783.1316203,,,,,,,,
133,S1C1 02042025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,,,tonic,tonic,silent,6.9,7.0,144.4,yes,0.92,yes,22.95,58.41,2.4,2.1,163.6,6.0,-55.2,-39.96061613,806.12,,,,,,,,
134,S1C2 02042025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,,,tonic,tonic,silent,5.5,5.8,180.9,no,0.0,no,0.0,45.3,6.3,3.2,248.1,,-41.0,-29.60552552,,,,,,,,,
135,S1C4 02042025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,,,tonic,tonic,silent,0.16,0.34,5935.0,no,16.72,yes,10.6,83.4,2.7,2.1,232.3,21.0,-49.6,-34.7352147,728.1940326,,,,,,,,
136,S1C2 14042025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,18.2,0.0,0.0,0.0,0.0,30.0,0.0,-43.8,1073.827073,,,,,,,,
137,S1C3 14042025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,tonic,tonic,silent,0.48,0.67,2047.0,no,0.0,no,0.0,74.2,4.25,2.44,310.0,39.0,-42.85,-38.66859864,683.7701221,,,,,,,,
138,S1C4 14042025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,phasic,phasic,silent,0.69,1.2,1446.5,no,0.0,no,0.0,57.7,3.3,2.36,200.4,4.0,-46.6,-41.22585287,1316.330929,,,,,,,,
139,S1C5 14042025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,phasic,phasic,silent,0.01,0.01,60386.0,yes,17.6,yes,4.7,76.5,2.9,2.4,253.0,9.0,-48.0,-48.25940365,1036.784208,,,,,,,,
140,S1C8 14042025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,tonic,tonic,silent,,,,,,,,,,,,,-45.0,,,,,,,,,,
141,S1C2 02062025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,yes,2.53,yes,2.35,0.0,0.0,0.0,0.0,21.0,0.0,-71.91296873,715.3289581,,,,,,,,
142,S1C3 02062025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,no,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,1.95,0.0,0.0,0.0,0.0,26.0,0.0,-66.88486583,776.7681344,0.126984127,8.8,1.6,15.4,Ramp=File 17 can't be analyzed ,,,
143,S1C4 02062025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,no ,no,tonic,silent,silent,0.2,1.13,5205.0,yes,8.7,yes,1.34,89.8,2.3,2.7,267.2,4.0,-54.2,-49.78777109,824.1100034,0.161290323,9.2,1.2,13.2,,,,
144,S1C6 02062025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,yes,yes,tonic,tonic,phasic,6.4,6.7,156.4,yes,9.31,yes,22.9,66.9,3.6,2.4,252.9,12.0,-43.1,-38.54570608,341.1589803,0.066666667,7.4,1.4,7.35,,,,
145,S1C7 02062025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,6.0,0.0,-55.61817524,,,,,,1 spike onlyI/v curve very bad/bad ramp,,,
146,S1C8 02062025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,28.0,0.0,-54.74510659,842.4060974,0.01369863,6.4,7.8,,,,,
147,S1C9 02062025,F,Unknown,pan-MPOA-virgin,D,,WT,Pre,,yes,yes,phasic,phasic,silent,0.33,0.4,2992.0,yes,32.8,yes,14.0,78.6,3.6,2.1,300.0,14.0,-45.3,-43.18272302,836.1175123,0.046082949,7.9,3.0,, ,,,
148,S1C2 03062025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,3.0,0.0,0.0,0.0,0.0,22.0,0.0,-54.68906235,868.0363611,0.330097087,6.1,0.4,,,,,
149,S1C4 03062025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,yes,yes,phasic,phasic,phasic,0.46,1.4,2169.0,no,0.0,yes,13.0,80.0,2.8,2.0,246.6,1.0,-72.9,-69.68876341,758.3417473,0.530927835,16.0,1.1,9.1,,,,
150,S1C5 03062025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,no,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,36.0,0.0,-40.90100602,1162.076716,4.09649662,6.9,0.9,9.7,,,,
151,S1C6 03062025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,no,no,tonic,tonic,silent,0.31,0.53,3202.0,yes,6.0,yes,2.0,64.5,3.5,2.15,230.3,,-54.3,-47.16405466,758.4333889,1.810344828,7.2,0.8,9.6,,,no theobase ,
152,S1C7 03062025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,yes,yes,phasic,phasic,silent,0.11,0.79,8966.3,no,0.0,no,0.0,66.15,4.1,2.28,277.0,12.0,-52.8,-54.70690429,1073.793635,0.046376812,28.5,2.3,13.8,,,,
153,S1C8 03062025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,20.0,0.0,-77.68614939,855.3145272,0.010607522,15.0,1.1,9.14,,,,
154,S1C9 03062025,F,Unknown,pan-MPOA-virgin,M,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,yes,2.2,yes,1.5,0.0,0.0,0.0,0.0,10.0,0.0,-34.46406565,742.4312719,,,,,,,cell not opened ,
155,S1C8 1062025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,yes,yes,phasic,phasic,silent,1.83,2.3,543.6,yes,12.0,yes,41.0,56.1,5.8,5.24,457.0,6.0,-26.6,-22.07899336,1312.311621,0.720283338,8.9,1.2,9.0,,,,
156,S1C10 1062025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,1.4,0.0,0.0,0.0,0.0,16.0,0.0,-48.4022818,890.8236382,0.886051264,18.145,1.3,7.7,,,,
157,S1C6 11062025,F,Unknown,pan-MPOA-virgin,P,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,3.6,0.0,0.0,0.0,0.0,13.0,0.0,-58.63354396,1211.103438,0.210187066,15.3,1.3,6.9,,,,
158,S1C7 11062025,F,Unknown,pan-MPOA-virgin,P,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,yes,35.98,yes,7.7,0.0,0.0,0.0,0.0,12.0,0.0,-58.47852447,746.612987,0.433082893,8.8355,1.3,16.1,,,,
159,S1C9 11062025,F,Unknown,pan-MPOA-virgin,P,,WT,Pre,,yes,yes,phasic,phasic,silent,2.19,2.59,455.1,no,0.0,no,0.0,53.9,6.3,3.12,345.2,12.0,-41.5,-37.08159846,1235.57276,1.266163793,13.2,0.6,6.15,,,,
160,S1C10 1106202,F,Unknown,pan-MPOA-virgin,P,,WT,Pre,,no,no,tonic,tonic,silent,1.7,1.8,604.0,no,0.0,no,0.0,97.7,2.4,1.8,256.9,14.0,51.86,-42.46715489,876.7732111,0.326052672,7.8,0.3,32.6,,,,
161,S1C11 1106202,F,Unknown,pan-MPOA-virgin,P,,WT,Pre,,yes,yes,phasic,phasic,silent,,,,no,0.0,no,0.0,,,,,12.0,,,941.918757,0.12,7.3,0.7,72.0,,,,
162,S1C12 1106202,F,Unknown,pan-MPOA-virgin,P,,WT,Pre,,yes,yes,phasic,phasic,phasic,,,,no,0.0,yes,6.1,,,,,2.0,,,1075.008936,0.14,7.5,1.1,4.1,,,,
163,S1C2 27062025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,yes,yes,tonic,tonic,silent,0.1,0.1,8369.1,no,0.0,yes,1.56,98.0,2.4,1.9,266.6,10.0,-56.2,-50.69023502,822.795286,0.978546706,16.7,1.2,11.9,,,,
164,S1C3 27062025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,,,,,,,,,,,,,,,,,,,,,1.042770127,10.6,0.7,10.4,,,only synaptic ,
165,S1C4 27062025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,yes,yes,silent,silent,silent,0.0,0.0,0.0,yes,13.8,no,0.0,0.0,0.0,0.0,0.0,,0.0,-53.06855364,715.3591734,0.031273735,6.13,2.9,,,,No decay read by the software/No Rheobase ,
166,S1C5 27062025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,no,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,14.43,0.0,0.0,0.0,0.0,16.0,0.0,-57.76272048,846.0247784,,,,,,,Cell not properly opened ,
167,S1C6 27062025,F,Unknown,pan-MPOA-virgin,E,,WT,Pre,,no,no,tonic,tonic,silent,0.87,0.91,1137.0,yes,7.4,yes,10.3,105.1,1.6,1.6,193.1,24.0,-57.0,-57.55768766,668.4505822,0.628472027,9.0,0.9,7.7,,,,
168,S1C1 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,yes,,,,,,,,,,,,,,,,,,,,,0.792168675,15.23,1.0,15.4,,,Cell lost only synaptic,
169,S1C2 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,yes,,,,,,,,,,,,,,,,,,,,,0.48,11.048,1.1,10.482,,,,
170,S1C3 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,yes,35.06807322,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,5.55,0.0,0.0,0.0,0.0,27.0,0.0,-39.04526531,829.7533337,0.08,8.47,1.4,19.893,,,,
171,S1C4 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,yes,75.04782868,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,27.0,0.0,-50.48657332,738.8341802,3.15,8.0,1.1,10.739,,,,
172,S1C5 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,yes,39.65843322,yes,tonic,tonic,silent,1.59,2.1,629.0,,,,,104.5,2.1,1.59,314.0,9.0,-58.2,-42.50521648,,3.076433121,14.078,1.0,9.256,,,Forgot i/v curve,
173,S1C6 23012023,F,Unknown,virgin,D,BRAC7344.5e,WT,Agg+,yes,23.91883554,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,30.0,0.0,-62.38564036,973.294741,2.173333333,8.7475,1.0,8.021,,,,
174,S1C1 24012023,F,Unknown,virgin,P to E,BRAC7344.5d,WT,Agg+,yes,49.9243327,?,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,130.0,0.0,-62.07669346,292.9436713,0.450847458,7.1968,1.3,10.529,,,,
175,S1C2 24012023,F,Unknown,virgin,P to E,BRAC7344.5d,WT,Agg+,yes,34.89111732,yes,tonic,tonic,silent,0.83,1.17,1190.0,no,0.0,no,0.0,87.46,2.66,1.37,210.0,24.0,-51.35,-37.25370896,741.7270756,2.173333333,12.24,0.9,5.1697,,,,
176,S1C3 24012023,F,Unknown,virgin,P to E,BRAC7344.5d,WT,Agg+,yes,58.73685591,no,tonic,tonic,silent,0.56,1.0,1779.0,no,0.0,no,0.0,98.4,1.72,0.78,156.0,30.0,-56.35,-43.91255068,606.7517525,4.176470588,15.179,0.9,7.13,,,,
177,S1C1 21022023,F,Unknown,virgin,P to E,BRAC7344.5c,WT,Agg+,yes,30.39403974,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,1.04,0.0,0.0,0.0,0.0,3.0,0.0,-44.69640829,791.17,0.186666667,11.43,1.8,27.11,,,,
178,S2C1 21022023,F,Unknown,virgin,P to E,BRAC7344.5c,WT,Agg+,yes,55.60470701,yes,phasic,phasic,silent,0.47,0.81,2110.0,yes,26.14,yes,7.57,77.49,9.06,4.13,461.0,2.0,-44.58,-38.93018506,989.94,0.566666667,9.96,1.6,10.64,,,,
179,S2C2 21022023,F,Unknown,virgin,P to E,BRAC7344.5c,WT,Agg+,yes,31.23081925,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,9.25,0.0,0.0,0.0,0.0,14.0,0.0,-48.25553292,704.299,1.743333333,12.98,1.3,7.26,,,,
180,S1C1 15022023,F,Unknown,virgin,E,JKAM55.2d,WT,Agg+,yes,43.45218801,yes,silent,silent,silent,0.0,0.0,0.0,yes,19.9,yes,11.26,0.0,0.0,0.0,0.0,8.0,0.0,-61.14101032,679.2,1.566666667,12.65,1.8,14.35,,,,
181,S1C2 15022023,F,Unknown,virgin,E,JKAM55.2d,WT,Agg+,yes,20.13100437,yes,phasic,phasic,silent,0.16,0.66,6078.0,no,0.0,no,0.0,79.7,5.19,3.06,420.0,3.0,-51.94,-48.37390838,791.6,0.091891892,10.67,1.4,4.82,,,,
182,S1C3 15022023,F,Unknown,virgin,E,JKAM55.2d,WT,Agg+,yes,24.21464108,yes,phasic,phasic,silent,0.36,0.79,2725.0,yes,6.68,yes,4.52,82.24,3.8,1.58,286.0,3.0,-56.75,-49.49449883,1131.4,1.343234323,18.46,1.1,5.35,,,,
183,S1C4 15022023,F,Unknown,virgin,E,JKAM55.2d,WT,Agg+,yes,,no,phasic,phasic,silent,1.31,2.24,758.0,no,0.0,yes,1.92,108.0,3.23,6.2,505.0,36.0,-52.2,-37.8437814,787.9,,,,,,,Only 1 event detected for synaptic ,
184,S1C1 27022023,F,Unknown,virgin,D,JKAM55.4h,WT,Agg+,yes,50.97922849,no,phasic,phasic,silent,0.91,2.82,1095.0,no,0.0,yes,3.33,98.9,1.0,0.62,103.0,,-51.5,-46.5509606,554.0,0.835205993,12.33,1.3,9.82,,,,
185,S1C2 27022023,F,Unknown,virgin,D,JKAM55.4h,WT,Agg+,yes,69.66403162,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,3.45,0.0,0.0,0.0,0.0,9.0,0.0,-60.53016523,689.6,0.603174603,24.075,1.2,6.2,,,,
186,S1C1 31052023,F,Unknown,virgin,D to P,BRAC7921.4f,WT,Agg+,yes,,yes,tonic,tonic,silent,0.72,1.0,1384.0,no,0.0,no,0.0,72.0,4.6,3.0,357.0,3.0,-51.5,-45.09034517,1097.2953,0.371710526,13.9,1.1,4.45,,,,
187,S2C1 31052023,F,Unknown,virgin,D to P,BRAC7921.4f,WT,Agg+,yes,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.49,0.0,0.0,0.0,0.0,39.0,0.0,-57.90349104,609.1796489,10.57432432,11.23,1.1,9.75,,,,
188,S3C1 31052023,F,Unknown,virgin,D to P,BRAC7921.4f,WT,Agg+,yes,,no,phasic,phasic,silent,0.5,1.0,2006.0,yes,21.5,yes,3.11,99.0,1.6,1.7,192.0,3.0,-56.4,-42.65598319,786.9473665,4.773333333,13.45,0.9,6.1,,,,
189,S3C2 31052023,F,Unknown,virgin,D to P,BRAC7921.4f,WT,Agg+,yes,,no,tonic,tonic,silent,1.0,1.3,1026.0,yes,17.0,yes,4.97,84.0,2.26,1.81,214.0,20.0,-52.5,-38.79067276,762.8245367,4.699186992,10.7,1.1,8.4,,,,
190,S1C1 03102023,F,Unknown,pan-MPOA-virgin,P,BRAC8259.6c,WT,Agg-,,,no,tonic,tonic,silent,6.6,7.05,151.3,yes,8.0,yes,18.22,86.3,2.0,2.11,200.0,40.0,-49.5,-37.70730105,491.2467948,2.7,12.4,0.7,7.2,,,,
191,S1C2 03102023,F,Unknown,pan-MPOA-virgin,P,BRAC8259.6c,WT,Agg-,,,no,silent,silent,silent,0.0,0.0,0.0,yes,18.0,yes,6.7,0.0,0.0,0.0,0.0,10.0,0.0,-49.26277511,706.8856047,2.323432343,12.0,0.7,10.1,,,,
192,S1C3 03102023,F,Unknown,pan-MPOA-virgin,P,BRAC8259.6c,WT,Agg-,,,no,tonic,tonic,silent,4.1,6.9,103.0,yes,5.0,yes,8.12,92.13,0.99,1.6,102.0,10.0,-56.3,-53.2105634,77.12729096,3.068322981,38.4,0.8,6.2,,,,
193,S1C4 03102023,F,Unknown,pan-MPOA-virgin,P,BRAC8259.6c,WT,Agg-,,,no,tonic,tonic,silent,3.9,4.8,257.0,yes,4.33,yes,10.0,62.7,3.1,3.0,211.0,60.0,-43.5,-33.24062228,353.8441321,1.302325581,12.0,0.7,8.7,,,,
194,S1C5 03102023,F,Unknown,pan-MPOA-virgin,P,BRAC8259.6c,WT,Agg-,,,no,silent,silent,silent,0.0,0.0,0.0,yes,3.0,yes,5.34,0.0,0.0,0.0,0.0,110.0,0.0,-67.16423981,358.2145759,1.926517572,10.0,0.9,8.6,,,,
195,S1C6 03102023,F,Unknown,pan-MPOA-virgin,P,BRAC8259.6c,WT,Agg-,,,no,tonic,tonic,silent,3.2,3.9,315.7,no,0.0,yes,3.75,55.2,1.7,1.7,118.0,7.0,-49.0,-43.54859251,632.923639,2.99375,8.6,1.0,11.6,,,,
