,experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,aggressive,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz),isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
17,S1C2 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,,30.5102686,no,tonic,tonic,phasic,7.6,7.7,132.0,no,0.0,yes,2.1,89.0,3.6,1.2,280.0,5.0,-53.5,-46.38104116,895.9321627,4.625,18.74,1.3,7.7,,,,
18,S1C3 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,,21.55278918,yes,tonic,tonic,silent,2.0,2.3,504.0,no,0.0,no,0.0,81.0,5.1,1.5,373.0,3.0,-48.7,-41.89179393,1069.143153,0.482200647,14.188,1.0,5.9,,,,
19,S1C4 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,,47.21589103,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,24.0,0.0,-46.37087987,794.1960034,1.821325648,11.361,1.1,9.2,,,,
20,S1C5 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,,19.53855571,yes,tonic,tonic,silent,2.5,4.4,372.0,no,0.0,no,0.0,88.0,4.4,2.5,302.0,9.0,-55.7,-44.12036413,860.3498958,1.507880911,12.7,1.5,13.2,,,,
21,S1C1 26052023,F,Unknown,pan-MPOA-virgin,P,BRAC7921.4e,WT,Pre,,,,tonic,tonic,silent,2.6,1.5,670.0,,,,,54.13,5.7,2.95,284.0,,-46.7,-43.27761471,,,,,,,,,
22,S1C2 26052023,F,Unknown,pan-MPOA-virgin,P,BRAC7921.4e,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,-64.94938052,222.3402013,2.585454545,10.3,0.8,15.7,,,,
23,S1C1 25052023,F,Unknown,pan-MPOA-virgin,M,BRAC7560.6f,WT,Pre,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,24.0,0.0,-56.34871463,748.0319742,3.07079646,10.7,0.6,8.3,,,,
24,S2C1 25052023,F,Unknown,pan-MPOA-virgin,M,BRAC7560.6f,WT,Pre,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,30.0,0.0,-53.11796679,677.656372,,,,,,,,
25,S3C1 25052023,F,Unknown,pan-MPOA-virgin,P,BRAC7560.6f,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,yes,6.5,yes,16.9,0.0,0.0,0.0,0.0,,0.0,-51.95874652,,,,,,,,,
26,S1C1 17062023,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,Pre,,,,tonic,tonic,silent,0.3,0.8,3710.0,,,,,75.2,3.1,2.6,254.0,,-48.8,-39.76537198,,1.608,8.3,1.4,14.1,,,,
