,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
17470,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1318.6,3955.6,64.75,31.0993,0.8413,10.9654,8.5262,0.6647,100.4627,26924.0,19.1028,139.0,60.0,79.0,30.3246,8127.0,4.7313,40.0,21.0,19.0,174.0,48.1213,0.9442,16.6598,13.2806,0.5819,85.1743,22.6677,139.0,46.0,22.8829,6.9322,40.0,12.0,75.6898,19.2812,129.0,46.0,18.2662,2.8758,26.0,12.0,0.3791
17471,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1370.4,3963.0,158.5,49.8016,0.8031,17.1011,12.5355,0.6587,60.693,38358.0,3.6439,72.0,52.0,20.0,17.8149,11259.0,1.3414,22.0,15.0,7.0,319.75,66.4165,0.9109,22.61,18.1762,0.5875,59.8664,4.5253,73.0,50.0,16.4055,1.9191,22.0,11.0,59.0602,5.12,73.0,50.0,15.0309,1.3012,20.0,11.0,0.4966
17472,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1385.0,3959.1,51.0,29.7528,0.724,11.1434,7.2428,0.7481,90.7308,18872.0,11.3748,114.0,66.0,48.0,25.6683,5339.0,4.7356,38.0,18.0,20.0,155.25,46.3732,0.9072,16.4233,12.5,0.63,77.9259,13.6411,114.0,54.0,19.533,5.4353,38.0,12.0,71.477,9.5156,101.0,54.0,16.4431,2.1486,23.0,12.0,0.3336
17473,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1206.8,3961.6,39.25,26.4173,0.7068,9.9142,6.0926,0.7695,72.4969,11672.0,19.7621,142.0,51.0,91.0,16.0559,2585.0,1.402,20.0,13.0,7.0,133.0,42.4391,0.928,14.5507,12.2351,0.5159,62.3589,15.6159,142.0,46.0,13.9682,2.1255,20.0,10.0,57.9947,10.8687,136.0,46.0,13.0695,1.7127,18.0,10.0,0.297
17474,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1283.0,3965.3,173.25,59.86,0.6076,21.4762,14.2027,0.7244,78.2643,54785.0,18.1236,146.0,49.0,97.0,16.2643,11385.0,1.5102,21.0,12.0,9.0,372.75,75.9728,0.8115,27.2387,19.7796,0.6751,73.9766,17.9897,146.0,46.0,14.7368,1.9787,21.0,10.0,70.1917,17.0052,132.0,46.0,13.3884,1.2167,18.0,10.0,0.4715
17475,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1331.6,3962.0,51.75,27.5984,0.8538,9.5621,7.2989,0.5973,95.9296,20433.0,16.723,147.0,68.0,79.0,18.7653,3997.0,1.1781,22.0,16.0,6.0,141.5,43.3103,0.9479,14.6308,12.6923,0.4563,84.9842,18.3403,147.0,53.0,16.963,2.1208,22.0,12.0,78.4169,15.9981,109.0,53.0,15.8817,1.8016,21.0,12.0,0.3701
17476,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1511.8,3961.4,20.25,17.3442,0.8459,6.2116,4.3958,0.7059,96.7059,8220.0,21.7949,144.0,64.0,80.0,19.5765,1664.0,2.6112,26.0,15.0,11.0,97.0,35.6314,0.9601,12.0428,10.3547,0.5115,86.3274,29.0289,156.0,54.0,15.7187,2.5875,26.0,11.0,83.4444,30.1387,156.0,54.0,14.6471,1.1761,19.0,11.0,0.2118
17477,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1531.8,3965.0,59.75,33.3116,0.6766,12.7039,7.2297,0.8212,94.7037,23013.0,11.2912,119.0,62.0,57.0,18.4733,4489.0,1.8279,24.0,15.0,9.0,181.0,51.2595,0.8656,18.7833,13.0099,0.7375,89.3724,16.2336,166.0,57.0,15.7048,2.4174,24.0,11.0,86.6846,17.633,166.0,57.0,14.3091,1.1362,17.0,11.0,0.3317
17478,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1564.1,3964.7,51.5,27.0378,0.8853,10.2129,6.7159,0.7564,104.0234,22261.0,24.4952,200.0,74.0,126.0,52.6215,11261.0,9.9944,74.0,30.0,44.0,154.75,45.0756,0.9571,16.0509,12.6756,0.6214,90.7416,27.1002,200.0,55.0,30.764,17.3709,74.0,13.0,83.7922,25.7963,168.0,55.0,19.3276,5.1163,39.0,13.0,0.3373
17479,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 7.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1429.2,3964.7,31.5,21.648,0.8447,8.0837,4.7987,0.7866,82.2598,10447.0,15.7788,132.0,62.0,70.0,19.0866,2424.0,1.6331,23.0,16.0,7.0,115.5,39.4534,0.9324,13.8685,10.0,0.6416,69.4181,13.7147,132.0,52.0,16.0884,2.4182,23.0,12.0,64.5786,8.9443,91.0,52.0,14.9585,1.5425,19.0,12.0,0.2686
