,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
8177,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1241.9,3577.3,36.5,22.6507,0.894,7.715,6.4578,0.546,252.48,37872.0,6.6501,255.0,217.0,38.0,15.3333,2300.0,1.3887,19.0,13.0,6.0,109.5,38.3497,0.9356,13.3068,11.0,0.3428,204.8977,52.6171,255.0,102.0,12.725,2.2262,19.0,9.0,180.2862,48.9876,255.0,102.0,11.3759,1.0847,15.0,9.0,0.3341
8178,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1327.8,3583.4,52.0,29.6037,0.7456,11.6723,6.0763,0.8662,217.5395,46771.0,39.3061,255.0,117.0,138.0,21.5209,4627.0,3.3065,29.0,15.0,14.0,162.0,47.6379,0.8971,17.4798,11.5,0.7392,178.2577,52.0808,255.0,90.0,17.1389,3.956,29.0,11.0,158.7529,46.3436,255.0,90.0,14.963,1.929,20.0,11.0,0.3256
8179,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1790.8,3588.3,110.5,49.0374,0.5775,16.5947,11.2692,0.7406,162.9048,71841.0,36.4934,254.0,102.0,152.0,22.6939,10008.0,3.608,33.0,17.0,16.0,266.0,62.6883,0.8506,22.4855,16.1801,0.6738,146.1411,42.4529,255.0,80.0,19.2399,3.9915,33.0,12.0,134.2556,42.3963,255.0,80.0,16.791,1.8826,23.0,12.0,0.4126
8180,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1818.4,3586.8,59.0,29.62,0.8451,10.2445,7.5657,0.6394,183.4481,44211.0,29.2888,255.0,134.0,121.0,33.0996,7977.0,4.6849,43.0,23.0,20.0,148.5,46.0354,0.8805,16.0892,12.2787,0.6604,178.8047,39.9316,255.0,92.0,24.6377,7.994,43.0,12.0,175.6788,45.4962,255.0,92.0,18.9413,3.378,32.0,12.0,0.4036
8181,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1213.5,3589.1,43.75,27.0754,0.75,9.7421,6.6691,0.6675,252.8045,45252.0,7.4804,255.0,207.0,48.0,42.0056,7519.0,9.1194,61.0,22.0,39.0,147.25,44.8426,0.9202,15.2754,12.4173,0.5665,230.0068,34.8714,255.0,139.0,26.6452,12.6357,61.0,11.0,220.0537,37.3776,255.0,139.0,19.939,6.7083,40.0,11.0,0.3017
8182,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1868.8,3589.3,43.25,26.3512,0.7827,9.2213,6.3041,0.7589,154.9719,27585.0,20.7771,200.0,111.0,89.0,38.4719,6848.0,6.4591,51.0,25.0,26.0,144.0,44.1408,0.9287,14.8114,12.226,0.5667,141.5803,33.7543,254.0,82.0,26.3782,9.7608,51.0,14.0,135.6359,36.6075,254.0,82.0,21.01,5.0234,40.0,14.0,0.3032
8183,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1810.2,3592.8,43.25,24.9307,0.8744,8.5908,7.0113,0.5899,139.9451,25470.0,29.3114,233.0,101.0,132.0,22.3901,4075.0,2.6188,30.0,17.0,13.0,120.25,40.9645,0.9005,14.6227,10.3429,0.703,113.7723,29.7656,233.0,75.0,18.8385,3.638,30.0,13.0,97.9468,15.4362,148.0,75.0,16.691,2.2017,27.0,13.0,0.3674
8184,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1227.7,3596.4,126.25,52.9144,0.5666,18.1596,11.9817,0.754,245.2694,126559.0,19.0141,255.0,158.0,97.0,15.6473,8074.0,1.4332,21.0,12.0,9.0,303.0,66.2486,0.8676,24.0937,17.7705,0.6743,225.6768,38.4062,255.0,108.0,13.9373,2.0447,21.0,10.0,211.1722,42.4948,255.0,108.0,12.6714,1.41,18.0,10.0,0.4249
8185,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1630.6,3604.4,74.5,37.6939,0.6589,14.0859,7.6318,0.8705,127.1645,38658.0,27.7989,255.0,92.0,163.0,20.6053,6264.0,1.7638,27.0,16.0,11.0,209.75,54.7219,0.8802,20.1499,13.4255,0.7624,117.6766,37.1392,255.0,77.0,17.3888,2.9757,27.0,12.0,112.3054,40.5562,255.0,77.0,15.568,1.7113,20.0,12.0,0.3592
8186,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1320.1,3602.5,27.25,20.2492,0.8351,6.855,5.9384,0.2674,231.9649,26444.0,32.2586,255.0,149.0,106.0,18.0351,2056.0,2.3345,24.0,15.0,9.0,113.0,38.264,0.9699,12.8491,11.5,0.3653,218.7417,45.1086,255.0,109.0,15.7285,2.05,24.0,12.0,214.295,47.8996,255.0,109.0,14.9528,1.1833,18.0,12.0,0.2481
