,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
2003,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1272.2,3931.5,62.25,34.9422,0.6407,13.9611,6.4227,0.8987,76.5492,18678.0,26.7377,208.0,32.0,176.0,17.2951,4220.0,1.9232,22.0,14.0,8.0,184.0,51.8493,0.8601,20.0859,12.2164,0.801,60.0597,30.4646,214.0,22.0,14.118,2.7064,22.0,9.0,51.8986,28.8737,214.0,22.0,12.5456,1.2833,16.0,9.0,0.3275
2004,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1077.9,3931.5,38.5,26.8343,0.6719,11.0488,4.708,0.9204,69.7785,11025.0,25.6238,161.0,37.0,124.0,22.5127,3557.0,4.0971,31.0,14.0,17.0,138.5,44.5618,0.8765,16.9846,10.0,0.8101,41.6498,23.4465,161.0,21.0,14.5812,5.707,31.0,7.0,30.4268,8.1176,63.0,21.0,11.4167,1.9293,18.0,7.0,0.2821
2005,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1004.3,3934.6,51.25,31.0042,0.67,10.9331,7.3491,0.7536,88.5048,18586.0,48.0835,255.0,28.0,227.0,19.0429,3999.0,3.1988,29.0,13.0,16.0,155.75,48.3042,0.8388,16.7537,12.3048,0.7003,57.2325,38.7371,255.0,24.0,14.2022,4.2244,29.0,8.0,41.5215,18.9087,215.0,24.0,11.7703,1.994,18.0,8.0,0.3227
2006,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1183.7,3934.8,43.75,25.9021,0.8194,8.9824,7.0878,0.5006,49.4121,8993.0,13.5194,95.0,34.0,61.0,14.989,2728.0,1.1985,18.0,12.0,6.0,128.75,42.5163,0.895,15.3412,11.5639,0.6581,40.1284,13.4065,95.0,20.0,12.9183,1.9659,18.0,8.0,35.0392,10.259,70.0,20.0,11.7831,1.2466,15.0,8.0,0.3521
2007,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1196.6,3932.3,10.5,12.0139,0.9142,4.1023,3.4206,0.3807,66.9348,3079.0,12.6516,87.0,44.0,43.0,15.1957,699.0,1.1855,18.0,13.0,5.0,53.75,27.5702,0.8886,9.9512,6.9532,0.679,42.0688,16.5874,87.0,24.0,12.5321,1.707,18.0,9.0,35.4186,9.8093,72.0,24.0,11.8198,0.9533,14.0,9.0,0.1936
2008,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1025.9,3940.7,145.75,63.4451,0.455,20.0631,14.1251,0.7503,53.3833,31336.0,41.0282,255.0,25.0,230.0,15.5281,9115.0,1.5123,21.0,11.0,10.0,346.0,75.9076,0.7546,25.8479,19.2673,0.6637,49.5455,32.2986,255.0,21.0,13.5592,2.2825,21.0,9.0,46.7189,23.5459,168.0,21.0,12.1092,1.5505,19.0,9.0,0.4265
2009,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1212.1,3936.8,38.5,26.4922,0.6893,10.0105,5.9664,0.8184,54.3503,8533.0,25.0461,134.0,27.0,107.0,20.1019,3156.0,2.8015,26.0,15.0,11.0,112.0,41.3423,0.8235,15.6351,10.3165,0.7702,40.2151,20.8965,149.0,23.0,16.0576,3.6765,26.0,9.0,32.6667,13.1307,149.0,23.0,13.898,1.771,20.0,9.0,0.3482
2010,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1192.3,3939.6,37.25,24.6819,0.7684,8.5827,6.5182,0.6071,85.451,13074.0,30.1324,171.0,39.0,132.0,16.0065,2449.0,1.3884,20.0,13.0,7.0,98.75,38.2167,0.8497,12.8888,11.0569,0.3852,58.2253,30.7481,171.0,24.0,13.8253,2.2195,20.0,9.0,41.0124,14.3149,105.0,24.0,12.4463,1.3813,17.0,9.0,0.3802
2011,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1065.2,3940.0,21.25,19.1297,0.7297,7.7499,4.0024,0.8557,39.8462,3626.0,6.6231,58.0,28.0,30.0,22.2418,2024.0,4.634,32.0,15.0,17.0,93.5,35.6603,0.924,12.527,9.3238,0.6384,38.568,11.7746,76.0,24.0,14.8267,5.017,32.0,9.0,38.1585,12.9838,76.0,24.0,12.4507,1.7577,20.0,9.0,0.2319
2012,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,990.06,3941.6,30.75,22.1737,0.7859,7.9688,5.9962,0.6187,33.5814,4332.0,2.6655,42.0,27.0,15.0,14.8682,1918.0,1.3658,18.0,12.0,6.0,121.75,40.0996,0.9515,13.3541,11.7701,0.4673,33.7393,13.5802,104.0,20.0,12.6191,2.1871,18.0,9.0,33.7956,15.7414,104.0,20.0,11.8177,1.8383,18.0,9.0,0.2563
