,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
11237,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1703.7,5616.0,35.75,23.1366,0.8392,8.6329,5.902,0.7146,100.1007,14915.0,9.9354,128.0,77.0,51.0,33.0872,4930.0,2.3991,39.0,28.0,11.0,108.5,39.3491,0.8806,13.8478,10.1487,0.6831,89.4633,13.8636,128.0,63.0,28.5367,3.9984,39.0,21.0,83.9408,12.3163,126.0,63.0,26.1742,2.2245,34.0,21.0,0.3377
11238,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1382.0,5619.8,37.75,23.859,0.8333,8.843,6.3595,0.6626,183.6667,28652.0,39.3068,254.0,95.0,159.0,28.8141,4495.0,2.2599,34.0,24.0,10.0,131.25,41.8039,0.9438,14.7175,11.5,0.5484,142.3232,44.2544,254.0,79.0,24.7262,3.1954,34.0,20.0,124.8919,33.3185,219.0,79.0,23.0027,1.5293,27.0,20.0,0.2857
11239,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1663.5,5622.5,72.75,34.3255,0.7759,11.5227,9.3295,0.5437,83.2967,24989.0,5.0471,97.0,68.0,29.0,41.41,12423.0,4.2468,51.0,32.0,19.0,173.75,48.7688,0.918,15.9955,14.0828,0.3873,79.7733,8.5049,110.0,56.0,35.2324,6.7046,51.0,23.0,77.1108,9.5596,110.0,56.0,30.5642,3.825,41.0,23.0,0.4246
11240,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1775.5,5623.4,33.0,24.9534,0.666,9.9824,4.8428,0.8669,113.9928,15845.0,16.6444,166.0,82.0,84.0,28.8777,4014.0,1.6172,34.0,26.0,8.0,107.25,41.4208,0.7855,15.3756,9.4311,0.8344,101.0372,15.7256,166.0,63.0,26.2023,2.5177,34.0,20.0,94.8488,10.7292,118.0,63.0,24.9244,1.7502,30.0,20.0,0.3202
11241,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1699.9,5625.3,55.5,28.6846,0.8476,10.6075,6.7145,0.7975,112.0533,25212.0,32.6123,208.0,77.0,131.0,35.9644,8092.0,3.1252,46.0,29.0,17.0,135.5,44.6267,0.855,16.6906,11.5556,0.6761,102.5956,33.1093,208.0,60.0,30.4246,5.6129,46.0,19.0,95.9248,31.8551,166.0,60.0,26.5172,3.1442,35.0,19.0,0.4016
11242,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1515.4,5625.8,57.25,29.4979,0.8268,10.7371,7.257,0.7232,138.4156,31974.0,22.4838,176.0,88.0,88.0,25.7662,5952.0,1.4377,30.0,23.0,7.0,161.5,46.1526,0.9528,16.2238,12.4954,0.5924,109.8692,29.5084,176.0,62.0,23.5338,2.0859,30.0,19.0,94.1313,19.3695,145.0,62.0,22.3031,1.16,26.0,19.0,0.3562
11243,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1617.4,5626.1,55.75,29.0187,0.832,11.0233,7.1693,0.7956,140.009,31222.0,37.7463,255.0,80.0,175.0,38.5471,8596.0,4.8608,53.0,31.0,22.0,135.25,43.4545,0.9001,16.531,10.9423,0.7198,106.3149,39.7743,255.0,53.0,30.8527,7.5565,53.0,20.0,82.8344,18.6991,133.0,53.0,25.4906,3.2163,35.0,20.0,0.411
11244,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1474.2,5626.9,70.25,32.258,0.8484,10.7333,9.2637,0.2264,141.6632,40374.0,51.6798,254.0,78.0,176.0,36.3333,10355.0,3.5817,44.0,28.0,16.0,186.0,49.5174,0.9533,16.782,14.5,0.326,133.0859,55.3771,255.0,65.0,30.6456,5.303,44.0,22.0,127.7717,56.9581,255.0,65.0,27.1217,2.2613,33.0,22.0,0.3809
11245,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1584.6,5628.5,83.5,34.4785,0.8827,11.9088,10.0195,0.4985,145.006,48577.0,38.5963,254.0,82.0,172.0,64.0328,21451.0,12.2644,91.0,42.0,49.0,202.25,51.6154,0.954,17.8688,15.0,0.4582,120.2645,40.1655,254.0,58.0,47.1595,16.8676,91.0,25.0,102.7785,31.0482,194.0,58.0,35.2342,5.9709,54.0,25.0,0.41
11246,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1767.6,5627.3,36.0,22.3649,0.9044,7.8823,6.0906,0.6353,96.6735,14211.0,16.4588,135.0,74.0,61.0,30.3333,4459.0,1.7993,35.0,26.0,9.0,93.25,36.8962,0.8608,13.1252,9.5581,0.6812,88.4438,16.8273,135.0,54.0,26.9011,3.4218,35.0,20.0,83.1145,14.8242,122.0,54.0,24.6784,2.1467,32.0,20.0,0.383
11247,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1368.6,5624.5,10.5,12.9099,0.7917,5.1075,2.7881,0.7976,249.2553,11715.0,10.0574,255.0,209.0,46.0,29.383,1381.0,1.2778,32.0,26.0,6.0,67.25,30.3791,0.9157,10.7458,7.5,0.7252,211.8155,31.4469,255.0,144.0,26.7565,2.3205,32.0,22.0,203.9598,28.6189,254.0,144.0,26.2054,2.1033,32.0,22.0,0.1608
11248,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1457.4,5632.8,160.0,53.056,0.7143,20.2593,11.728,0.795,108.2226,70020.0,9.9064,169.0,84.0,85.0,30.0788,19461.0,1.9981,36.0,25.0,11.0,338.5,69.4884,0.8809,26.6143,17.6777,0.7281,109.2015,23.121,251.0,78.0,27.8022,2.8799,36.0,21.0,110.1024,30.5823,251.0,78.0,25.707,1.758,31.0,21.0,0.4842
11249,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1626.6,5627.3,30.25,20.8783,0.8721,7.2089,5.3714,0.6154,101.8455,12527.0,4.7201,114.0,91.0,23.0,30.1301,3706.0,1.7128,35.0,27.0,8.0,88.25,36.2347,0.8446,12.9695,8.3334,0.7614,106.709,14.6584,176.0,82.0,27.2768,2.8508,35.0,21.0,109.2987,17.2793,176.0,82.0,25.7576,2.0604,31.0,21.0,0.3431
11250,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1304.1,5630.1,69.0,33.6139,0.7674,11.6445,7.939,0.7483,213.1841,59052.0,25.8831,255.0,145.0,110.0,28.3574,7855.0,2.3847,34.0,24.0,10.0,183.25,49.7508,0.9304,17.5688,14.0169,0.6077,200.9222,39.7678,255.0,108.0,24.9782,3.2905,34.0,18.0,193.4737,44.6179,255.0,108.0,22.9254,1.6717,27.0,18.0,0.3808
11251,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1681.3,5632.4,114.25,40.9655,0.8555,13.4379,11.4159,0.4222,88.2273,40761.0,7.3622,113.0,70.0,43.0,35.2511,16286.0,3.1128,43.0,28.0,15.0,259.0,58.5448,0.9496,19.2083,17.2219,0.4083,85.7191,13.0245,196.0,59.0,30.9778,4.6723,43.0,22.0,83.7003,15.9264,196.0,59.0,27.5383,2.2499,34.0,22.0,0.4407
11252,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1316.7,5631.3,40.75,24.1544,0.8777,8.6732,6.3126,0.6808,234.8862,39226.0,20.9777,255.0,181.0,74.0,29.2096,4878.0,2.5456,35.0,24.0,11.0,126.75,41.0758,0.944,14.5901,11.5,0.5657,180.4872,48.9625,255.0,101.0,24.0982,4.1576,35.0,17.0,153.924,34.6444,255.0,101.0,21.6023,1.8852,26.0,17.0,0.3227
11253,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1598.3,5632.1,47.75,26.0794,0.8822,9.0445,7.2997,0.5378,90.8796,17358.0,5.7675,107.0,76.0,31.0,32.1361,6138.0,2.5593,40.0,27.0,13.0,139.5,43.1731,0.9405,14.7408,12.5,0.318,88.2196,9.3869,124.0,68.0,29.0768,3.5938,40.0,21.0,86.8428,10.5404,124.0,68.0,27.4932,2.9774,38.0,21.0,0.3357
11254,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1570.6,5632.9,48.5,26.8215,0.8472,9.686,7.1426,0.6244,145.345,29069.0,33.0875,223.0,94.0,129.0,34.76,6952.0,2.9709,43.0,29.0,14.0,149.0,44.3305,0.9528,15.6304,12.6361,0.5312,125.5376,35.9555,254.0,72.0,29.9399,4.1879,43.0,22.0,115.609,33.1523,254.0,72.0,27.5238,2.1002,33.0,22.0,0.3256
11255,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic nucleus,Polygon,1638.6,5634.9,119.75,41.5295,0.8725,13.6636,12.0357,0.4939,90.8849,43443.0,11.7572,120.0,71.0,49.0,51.2657,24505.0,9.9138,78.0,35.0,43.0,259.25,58.2931,0.9587,19.5247,17.4473,0.3941,85.5413,16.4129,123.0,57.0,39.7294,13.0065,78.0,21.0,81.0124,18.3354,123.0,57.0,29.9521,4.5571,43.0,21.0,0.4586
