mice_ID,surgery_date,KO,estrous_stage,injection_site,virus,exp_date,registration,registration_comment,state_before,retrieval_before_latency,state_before_comment,state,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,collection,validation,comment
JKAH29.1f,20/04/2022,ESR,P,ARC,EGFP-CRE,29/05/2022,NA,,,,,,Agg+,456,,,,done,invalid,very faint unilateral signal
JKAH31.1c,21/04/2022,ESR,E,ARC,EGFP-CRE,29/05/2022,NA,,,,,,Agg-,,,,,done,valid,very nice bilateral injection
JKAH29.1d,20/04/2022,ESR,E,ARC,EGFP-CRE,29/05/2022,NA,,,,,,Agg-,,,,,done,valid,
JKAX7.4a,10/02/2022,PR,P,MPOA,wrongEGFP,02/03/2022,NA,,,,,,Agg+,,,,,done,invalid,
JKAX7.4b,10/02/2022,PR,M,MPOA,wrongEGFP,02/03/2022,NA,,,,,,Agg+,,,,,done,invalid,
JKAX12.3g,10/02/2022,PR,D,MPOA,wrongEGFP,02/03/2022,NA,,,,,,Agg-,,,,,done,invalid,
JKAX12.6e,19/05/2022,PR,E,MPOA,EGFP,10/06/2022,NA,,,,,,Agg-,,,,,cryo/found,,
JKAX12.6f,19/05/2022,PR,E,MPOA,EGFP,10/06/2022,NA,,,,,,Agg+,192,,,,cryo/found,,
JKAH27.3b,13/05/2022,ESR,M,MPOA,EGFP,10/06/2022,NA,,,,,,Agg+,30,,,,cryo,,
JKAH27.3c,13/05/2022,ESR,D,MPOA,EGFP,10/06/2022,NA,,,,,,Agg-,,,,,cryo/found,,"slice not good, slice missing"
JKAH28.2d,13/05/2022,ESR,M,MPOA,EGFP,10/06/2022,NA,,,,,,Agg+,260,,,,done,valid,"collected by Jonny, injection a bit uneven"
JKAH29.3a,17/05/2022,ESR,D,MPOA,EGFP,10/06/2022,NA,,,,,,Agg+,46,,,,ready,,culled by Andres (?)
JKAH27.3d,13/05/2022,ESR,M,MPOA,EGFP,10/06/2022,NA,,,,,,Agg+,18,,,,cryo,,
JKAH29.3b,17/05/2022,ESR,P,MPOA,EGFP,10/06/2022,NA,,,,,,Agg+,145,,,pup screaming,done,valid,"collected by Jonny, nice bilateral injection"
JKAX43.1g,,PR,P,MPOA,EGFP,10/06/2022,NA,,,,,,Agg-,,,,,done,valid,a bit spready
JKAX43.1d,,PR,M,MPOA,EGFP,10/06/2022,NA,,,,,,Agg+,206,,,,done,valid,a bit spready
