,BrainRegion,Class,Num_cells,id,channel
70,Anterodorsal preoptic nucleus,negative,0,BRAC5872.1f,cfos
71,Anterodorsal preoptic nucleus,positive,458,BRAC5872.1f,cfos
72,"Anterolateral visual area, layer 1",negative,12,BRAC5872.1f,cfos
73,"Anterolateral visual area, layer 1",positive,252,BRAC5872.1f,cfos
74,"Anterolateral visual area, layer 2/3",negative,6,BRAC5872.1f,cfos
75,"Anterolateral visual area, layer 2/3",positive,517,BRAC5872.1f,cfos
76,"Anterolateral visual area, layer 4",negative,0,BRAC5872.1f,cfos
77,"Anterolateral visual area, layer 4",positive,410,BRAC5872.1f,cfos
78,"Anterolateral visual area, layer 5",negative,9,BRAC5872.1f,cfos
79,"Anterolateral visual area, layer 5",positive,859,BRAC5872.1f,cfos
80,"Anterolateral visual area, layer 6a",negative,6,BRAC5872.1f,cfos
81,"Anterolateral visual area, layer 6a",positive,309,BRAC5872.1f,cfos
82,"Anterolateral visual area, layer 6b",negative,3,BRAC5872.1f,cfos
83,"Anterolateral visual area, layer 6b",positive,64,BRAC5872.1f,cfos
84,"Anteromedial nucleus, dorsal part",negative,1,BRAC5872.1f,cfos
85,"Anteromedial nucleus, dorsal part",positive,972,BRAC5872.1f,cfos
86,"Anteromedial nucleus, ventral part",negative,0,BRAC5872.1f,cfos
87,"Anteromedial nucleus, ventral part",positive,547,BRAC5872.1f,cfos
88,"Anteromedial visual area, layer 1",negative,1,BRAC5872.1f,cfos
89,"Anteromedial visual area, layer 1",positive,397,BRAC5872.1f,cfos
90,"Anteromedial visual area, layer 2/3",negative,6,BRAC5872.1f,cfos
91,"Anteromedial visual area, layer 2/3",positive,754,BRAC5872.1f,cfos
92,"Anteromedial visual area, layer 4",negative,3,BRAC5872.1f,cfos
93,"Anteromedial visual area, layer 4",positive,284,BRAC5872.1f,cfos
94,"Anteromedial visual area, layer 5",negative,2,BRAC5872.1f,cfos
95,"Anteromedial visual area, layer 5",positive,749,BRAC5872.1f,cfos
96,"Anteromedial visual area, layer 6a",negative,0,BRAC5872.1f,cfos
97,"Anteromedial visual area, layer 6a",positive,325,BRAC5872.1f,cfos
98,"Anteromedial visual area, layer 6b",negative,0,BRAC5872.1f,cfos
99,"Anteromedial visual area, layer 6b",positive,56,BRAC5872.1f,cfos
100,Anteroventral nucleus of thalamus,negative,5,BRAC5872.1f,cfos
