,BrainRegion,Class,Num_cells,id,channel
2395,Ventral part of the lateral geniculate complex,positive,1277,BRAC5487.3i,cfos
2396,Ventral posterolateral nucleus of the thalamus,negative,473,BRAC5487.3i,cfos
2397,Ventral posterolateral nucleus of the thalamus,positive,3460,BRAC5487.3i,cfos
2398,"Ventral posterolateral nucleus of the thalamus, parvicellular part",negative,136,BRAC5487.3i,cfos
2399,"Ventral posterolateral nucleus of the thalamus, parvicellular part",positive,141,BRAC5487.3i,cfos
2400,Ventral posteromedial nucleus of the thalamus,negative,1979,BRAC5487.3i,cfos
2401,Ventral posteromedial nucleus of the thalamus,positive,9750,BRAC5487.3i,cfos
2402,"Ventral posteromedial nucleus of the thalamus, parvicellular part",negative,455,BRAC5487.3i,cfos
2403,"Ventral posteromedial nucleus of the thalamus, parvicellular part",positive,581,BRAC5487.3i,cfos
2404,Ventral premammillary nucleus,negative,4,BRAC5487.3i,cfos
2405,Ventral premammillary nucleus,positive,526,BRAC5487.3i,cfos
2406,Ventral tegmental area,negative,1,BRAC5487.3i,cfos
2407,Ventral tegmental area,positive,383,BRAC5487.3i,cfos
2408,Ventrolateral preoptic nucleus,negative,9,BRAC5487.3i,cfos
2409,Ventrolateral preoptic nucleus,positive,179,BRAC5487.3i,cfos
2410,Ventromedial hypothalamic nucleus,negative,688,BRAC5487.3i,cfos
2411,Ventromedial hypothalamic nucleus,positive,2033,BRAC5487.3i,cfos
2412,Ventromedial preoptic nucleus,negative,30,BRAC5487.3i,cfos
2413,Ventromedial preoptic nucleus,positive,265,BRAC5487.3i,cfos
2414,"Visceral area, layer 1",negative,29,BRAC5487.3i,cfos
2415,"Visceral area, layer 1",positive,991,BRAC5487.3i,cfos
2416,"Visceral area, layer 2/3",negative,46,BRAC5487.3i,cfos
2417,"Visceral area, layer 2/3",positive,2652,BRAC5487.3i,cfos
2418,"Visceral area, layer 4",negative,6,BRAC5487.3i,cfos
2419,"Visceral area, layer 4",positive,888,BRAC5487.3i,cfos
2420,"Visceral area, layer 5",negative,62,BRAC5487.3i,cfos
2421,"Visceral area, layer 5",positive,3351,BRAC5487.3i,cfos
2422,"Visceral area, layer 6a",negative,73,BRAC5487.3i,cfos
2423,"Visceral area, layer 6a",positive,2187,BRAC5487.3i,cfos
2424,"Visceral area, layer 6b",negative,10,BRAC5487.3i,cfos
2425,"Visceral area, layer 6b",positive,233,BRAC5487.3i,cfos
2426,Xiphoid thalamic nucleus,negative,5,BRAC5487.3i,cfos
2427,Xiphoid thalamic nucleus,positive,469,BRAC5487.3i,cfos
2428,Zona incerta,negative,1385,BRAC5487.3i,cfos
2429,Zona incerta,positive,3883,BRAC5487.3i,cfos
2430,alveus,negative,324,BRAC5487.3i,cfos
2431,alveus,positive,2454,BRAC5487.3i,cfos
2432,amygdalar capsule,negative,200,BRAC5487.3i,cfos
2433,amygdalar capsule,positive,462,BRAC5487.3i,cfos
2434,"anterior commissure, olfactory limb",negative,5,BRAC5487.3i,cfos
2435,"anterior commissure, olfactory limb",positive,624,BRAC5487.3i,cfos
2436,"anterior commissure, temporal limb",negative,8,BRAC5487.3i,cfos
2437,"anterior commissure, temporal limb",positive,268,BRAC5487.3i,cfos
2438,auditory radiation,negative,362,BRAC5487.3i,cfos
2439,auditory radiation,positive,741,BRAC5487.3i,cfos
2440,brachium of the superior colliculus,negative,59,BRAC5487.3i,cfos
2441,brachium of the superior colliculus,positive,252,BRAC5487.3i,cfos
2442,cerebal peduncle,negative,21,BRAC5487.3i,cfos
2443,cerebal peduncle,positive,621,BRAC5487.3i,cfos
2444,cerebral aqueduct,negative,2,BRAC5487.3i,cfos
2445,cerebral aqueduct,positive,25,BRAC5487.3i,cfos
2446,choroid plexus,negative,127,BRAC5487.3i,cfos
2447,choroid plexus,positive,1020,BRAC5487.3i,cfos
2448,cingulum bundle,negative,450,BRAC5487.3i,cfos
2449,cingulum bundle,positive,3774,BRAC5487.3i,cfos
2450,columns of the fornix,negative,35,BRAC5487.3i,cfos
2451,columns of the fornix,positive,637,BRAC5487.3i,cfos
2452,commissural branch of stria terminalis,negative,6,BRAC5487.3i,cfos
2453,commissural branch of stria terminalis,positive,150,BRAC5487.3i,cfos
2454,"corpus callosum, anterior forceps",negative,1,BRAC5487.3i,cfos
2455,"corpus callosum, anterior forceps",positive,36,BRAC5487.3i,cfos
2456,"corpus callosum, body",negative,207,BRAC5487.3i,cfos
2457,"corpus callosum, body",positive,5180,BRAC5487.3i,cfos
2458,"corpus callosum, extreme capsule",negative,66,BRAC5487.3i,cfos
2459,"corpus callosum, extreme capsule",positive,297,BRAC5487.3i,cfos
2460,"corpus callosum, posterior forceps",negative,839,BRAC5487.3i,cfos
2461,"corpus callosum, posterior forceps",positive,2165,BRAC5487.3i,cfos
2462,"corpus callosum, splenium",negative,337,BRAC5487.3i,cfos
2463,"corpus callosum, splenium",positive,1439,BRAC5487.3i,cfos
2464,dorsal fornix,negative,0,BRAC5487.3i,cfos
2465,dorsal fornix,positive,35,BRAC5487.3i,cfos
2466,dorsal hippocampal commissure,negative,245,BRAC5487.3i,cfos
2467,dorsal hippocampal commissure,positive,1268,BRAC5487.3i,cfos
2468,external capsule,negative,112,BRAC5487.3i,cfos
2469,external capsule,positive,1391,BRAC5487.3i,cfos
2470,external medullary lamina of the thalamus,negative,7,BRAC5487.3i,cfos
2471,external medullary lamina of the thalamus,positive,316,BRAC5487.3i,cfos
2472,fasciculus retroflexus,negative,103,BRAC5487.3i,cfos
2473,fasciculus retroflexus,positive,484,BRAC5487.3i,cfos
2474,fiber tracts,negative,647,BRAC5487.3i,cfos
2475,fiber tracts,positive,2203,BRAC5487.3i,cfos
2476,fimbria,negative,174,BRAC5487.3i,cfos
2477,fimbria,positive,1797,BRAC5487.3i,cfos
2478,genu of corpus callosum,negative,112,BRAC5487.3i,cfos
2479,genu of corpus callosum,positive,422,BRAC5487.3i,cfos
2480,habenular commissure,negative,27,BRAC5487.3i,cfos
2481,habenular commissure,positive,104,BRAC5487.3i,cfos
2482,internal capsule,negative,249,BRAC5487.3i,cfos
2483,internal capsule,positive,2400,BRAC5487.3i,cfos
2484,"lateral olfactory tract, body",negative,17,BRAC5487.3i,cfos
2485,"lateral olfactory tract, body",positive,505,BRAC5487.3i,cfos
2486,lateral ventricle,negative,534,BRAC5487.3i,cfos
2487,lateral ventricle,positive,2017,BRAC5487.3i,cfos
2488,mammillary peduncle,negative,6,BRAC5487.3i,cfos
2489,mammillary peduncle,positive,23,BRAC5487.3i,cfos
2490,mammillotegmental tract,negative,0,BRAC5487.3i,cfos
2491,mammillotegmental tract,positive,61,BRAC5487.3i,cfos
2492,mammillothalamic tract,negative,89,BRAC5487.3i,cfos
2493,mammillothalamic tract,positive,399,BRAC5487.3i,cfos
2494,medial corticohypothalamic tract,negative,3,BRAC5487.3i,cfos
2495,medial corticohypothalamic tract,positive,4,BRAC5487.3i,cfos
2496,medial forebrain bundle,negative,0,BRAC5487.3i,cfos
2497,medial forebrain bundle,positive,113,BRAC5487.3i,cfos
2498,medial lemniscus,negative,66,BRAC5487.3i,cfos
2499,medial lemniscus,positive,292,BRAC5487.3i,cfos
2500,nigrostriatal tract,negative,211,BRAC5487.3i,cfos
2501,nigrostriatal tract,positive,348,BRAC5487.3i,cfos
2502,optic chiasm,negative,41,BRAC5487.3i,cfos
2503,optic chiasm,positive,133,BRAC5487.3i,cfos
2504,optic radiation,negative,825,BRAC5487.3i,cfos
2505,optic radiation,positive,3233,BRAC5487.3i,cfos
2506,optic tract,negative,310,BRAC5487.3i,cfos
2507,optic tract,positive,737,BRAC5487.3i,cfos
2508,posterior commissure,negative,25,BRAC5487.3i,cfos
2509,posterior commissure,positive,177,BRAC5487.3i,cfos
2510,"posteromedial visual area, layer 1",negative,185,BRAC5487.3i,cfos
2511,"posteromedial visual area, layer 1",positive,485,BRAC5487.3i,cfos
2512,"posteromedial visual area, layer 2/3",negative,361,BRAC5487.3i,cfos
2513,"posteromedial visual area, layer 2/3",positive,1067,BRAC5487.3i,cfos
2514,"posteromedial visual area, layer 4",negative,144,BRAC5487.3i,cfos
2515,"posteromedial visual area, layer 4",positive,455,BRAC5487.3i,cfos
2516,"posteromedial visual area, layer 5",negative,349,BRAC5487.3i,cfos
2517,"posteromedial visual area, layer 5",positive,1043,BRAC5487.3i,cfos
2518,"posteromedial visual area, layer 6a",negative,168,BRAC5487.3i,cfos
2519,"posteromedial visual area, layer 6a",positive,405,BRAC5487.3i,cfos
2520,"posteromedial visual area, layer 6b",negative,26,BRAC5487.3i,cfos
2521,"posteromedial visual area, layer 6b",positive,65,BRAC5487.3i,cfos
2522,principal mammillary tract,negative,0,BRAC5487.3i,cfos
2523,principal mammillary tract,positive,98,BRAC5487.3i,cfos
2524,root,negative,802,BRAC5487.3i,cfos
2525,root,positive,2787,BRAC5487.3i,cfos
2526,stria medullaris,negative,6,BRAC5487.3i,cfos
2527,stria medullaris,positive,1083,BRAC5487.3i,cfos
2528,stria terminalis,negative,112,BRAC5487.3i,cfos
2529,stria terminalis,positive,373,BRAC5487.3i,cfos
2530,subependymal zone,negative,48,BRAC5487.3i,cfos
2531,subependymal zone,positive,117,BRAC5487.3i,cfos
2532,superior colliculus commissure,negative,1,BRAC5487.3i,cfos
2533,superior colliculus commissure,positive,67,BRAC5487.3i,cfos
2534,supra-callosal cerebral white matter,negative,87,BRAC5487.3i,cfos
2535,supra-callosal cerebral white matter,positive,2119,BRAC5487.3i,cfos
2536,supraoptic commissures,negative,6,BRAC5487.3i,cfos
2537,supraoptic commissures,positive,32,BRAC5487.3i,cfos
2538,third ventricle,negative,238,BRAC5487.3i,cfos
2539,third ventricle,positive,1255,BRAC5487.3i,cfos
2540,ventral hippocampal commissure,negative,3,BRAC5487.3i,cfos
2541,ventral hippocampal commissure,positive,66,BRAC5487.3i,cfos
2542,Accessory supraoptic group,negative,0,BRAC5603.3e,cfos
2543,Accessory supraoptic group,positive,69,BRAC5603.3e,cfos
2544,"Agranular insular area, dorsal part, layer 1",negative,2,BRAC5603.3e,cfos
2545,"Agranular insular area, dorsal part, layer 1",positive,50,BRAC5603.3e,cfos
2546,"Agranular insular area, dorsal part, layer 2/3",negative,2,BRAC5603.3e,cfos
2547,"Agranular insular area, dorsal part, layer 2/3",positive,537,BRAC5603.3e,cfos
2548,"Agranular insular area, dorsal part, layer 5",negative,8,BRAC5603.3e,cfos
2549,"Agranular insular area, dorsal part, layer 5",positive,1062,BRAC5603.3e,cfos
2550,"Agranular insular area, dorsal part, layer 6a",negative,16,BRAC5603.3e,cfos
2551,"Agranular insular area, dorsal part, layer 6a",positive,793,BRAC5603.3e,cfos
2552,"Agranular insular area, dorsal part, layer 6b",negative,0,BRAC5603.3e,cfos
2553,"Agranular insular area, dorsal part, layer 6b",positive,26,BRAC5603.3e,cfos
2554,"Agranular insular area, posterior part, layer 1",negative,4,BRAC5603.3e,cfos
2555,"Agranular insular area, posterior part, layer 1",positive,323,BRAC5603.3e,cfos
2556,"Agranular insular area, posterior part, layer 2/3",negative,3,BRAC5603.3e,cfos
2557,"Agranular insular area, posterior part, layer 2/3",positive,1319,BRAC5603.3e,cfos
2558,"Agranular insular area, posterior part, layer 5",negative,6,BRAC5603.3e,cfos
2559,"Agranular insular area, posterior part, layer 5",positive,981,BRAC5603.3e,cfos
2560,"Agranular insular area, posterior part, layer 6a",negative,4,BRAC5603.3e,cfos
2561,"Agranular insular area, posterior part, layer 6a",positive,720,BRAC5603.3e,cfos
2562,"Agranular insular area, posterior part, layer 6b",negative,1,BRAC5603.3e,cfos
2563,"Agranular insular area, posterior part, layer 6b",positive,43,BRAC5603.3e,cfos
2564,"Agranular insular area, ventral part, layer 1",negative,0,BRAC5603.3e,cfos
2565,"Agranular insular area, ventral part, layer 1",positive,37,BRAC5603.3e,cfos
2566,"Agranular insular area, ventral part, layer 2/3",negative,4,BRAC5603.3e,cfos
2567,"Agranular insular area, ventral part, layer 2/3",positive,633,BRAC5603.3e,cfos
2568,"Agranular insular area, ventral part, layer 5",negative,5,BRAC5603.3e,cfos
2569,"Agranular insular area, ventral part, layer 5",positive,604,BRAC5603.3e,cfos
2570,"Agranular insular area, ventral part, layer 6a",negative,3,BRAC5603.3e,cfos
2571,"Agranular insular area, ventral part, layer 6a",positive,308,BRAC5603.3e,cfos
2572,Anterior amygdalar area,negative,25,BRAC5603.3e,cfos
2573,Anterior amygdalar area,positive,855,BRAC5603.3e,cfos
2574,"Anterior area, layer 1",negative,1,BRAC5603.3e,cfos
2575,"Anterior area, layer 1",positive,718,BRAC5603.3e,cfos
2576,"Anterior area, layer 2/3",negative,2,BRAC5603.3e,cfos
2577,"Anterior area, layer 2/3",positive,2841,BRAC5603.3e,cfos
2578,"Anterior area, layer 4",negative,0,BRAC5603.3e,cfos
2579,"Anterior area, layer 4",positive,991,BRAC5603.3e,cfos
2580,"Anterior area, layer 5",negative,1,BRAC5603.3e,cfos
2581,"Anterior area, layer 5",positive,1502,BRAC5603.3e,cfos
2582,"Anterior area, layer 6a",negative,5,BRAC5603.3e,cfos
2583,"Anterior area, layer 6a",positive,907,BRAC5603.3e,cfos
2584,"Anterior area, layer 6b",negative,0,BRAC5603.3e,cfos
2585,"Anterior area, layer 6b",positive,132,BRAC5603.3e,cfos
2586,"Anterior cingulate area, dorsal part, layer 1",negative,14,BRAC5603.3e,cfos
2587,"Anterior cingulate area, dorsal part, layer 1",positive,959,BRAC5603.3e,cfos
2588,"Anterior cingulate area, dorsal part, layer 2/3",negative,4,BRAC5603.3e,cfos
2589,"Anterior cingulate area, dorsal part, layer 2/3",positive,2783,BRAC5603.3e,cfos
2590,"Anterior cingulate area, dorsal part, layer 5",negative,47,BRAC5603.3e,cfos
2591,"Anterior cingulate area, dorsal part, layer 5",positive,4293,BRAC5603.3e,cfos
2592,"Anterior cingulate area, dorsal part, layer 6a",negative,63,BRAC5603.3e,cfos
2593,"Anterior cingulate area, dorsal part, layer 6a",positive,2237,BRAC5603.3e,cfos
2594,"Anterior cingulate area, dorsal part, layer 6b",negative,1,BRAC5603.3e,cfos
2595,"Anterior cingulate area, dorsal part, layer 6b",positive,49,BRAC5603.3e,cfos
2596,"Anterior cingulate area, ventral part, 6a",negative,17,BRAC5603.3e,cfos
2597,"Anterior cingulate area, ventral part, 6a",positive,1059,BRAC5603.3e,cfos
2598,"Anterior cingulate area, ventral part, 6b",negative,0,BRAC5603.3e,cfos
2599,"Anterior cingulate area, ventral part, 6b",positive,100,BRAC5603.3e,cfos
2600,"Anterior cingulate area, ventral part, layer 1",negative,12,BRAC5603.3e,cfos
2601,"Anterior cingulate area, ventral part, layer 1",positive,786,BRAC5603.3e,cfos
2602,"Anterior cingulate area, ventral part, layer 2/3",negative,5,BRAC5603.3e,cfos
2603,"Anterior cingulate area, ventral part, layer 2/3",positive,2253,BRAC5603.3e,cfos
2604,"Anterior cingulate area, ventral part, layer 5",negative,5,BRAC5603.3e,cfos
2605,"Anterior cingulate area, ventral part, layer 5",positive,3669,BRAC5603.3e,cfos
2606,Anterior hypothalamic nucleus,negative,25,BRAC5603.3e,cfos
2607,Anterior hypothalamic nucleus,positive,3200,BRAC5603.3e,cfos
2608,Anterior pretectal nucleus,negative,3,BRAC5603.3e,cfos
2609,Anterior pretectal nucleus,positive,3915,BRAC5603.3e,cfos
2610,Anterodorsal nucleus,negative,1,BRAC5603.3e,cfos
2611,Anterodorsal nucleus,positive,593,BRAC5603.3e,cfos
2612,Anterodorsal preoptic nucleus,negative,1,BRAC5603.3e,cfos
2613,Anterodorsal preoptic nucleus,positive,391,BRAC5603.3e,cfos
2614,"Anterolateral visual area, layer 1",negative,0,BRAC5603.3e,cfos
2615,"Anterolateral visual area, layer 1",positive,154,BRAC5603.3e,cfos
2616,"Anterolateral visual area, layer 2/3",negative,0,BRAC5603.3e,cfos
2617,"Anterolateral visual area, layer 2/3",positive,982,BRAC5603.3e,cfos
2618,"Anterolateral visual area, layer 4",negative,0,BRAC5603.3e,cfos
2619,"Anterolateral visual area, layer 4",positive,805,BRAC5603.3e,cfos
2620,"Anterolateral visual area, layer 5",negative,0,BRAC5603.3e,cfos
2621,"Anterolateral visual area, layer 5",positive,1122,BRAC5603.3e,cfos
2622,"Anterolateral visual area, layer 6a",negative,0,BRAC5603.3e,cfos
2623,"Anterolateral visual area, layer 6a",positive,482,BRAC5603.3e,cfos
2624,"Anterolateral visual area, layer 6b",negative,0,BRAC5603.3e,cfos
2625,"Anterolateral visual area, layer 6b",positive,103,BRAC5603.3e,cfos
2626,"Anteromedial nucleus, dorsal part",negative,0,BRAC5603.3e,cfos
2627,"Anteromedial nucleus, dorsal part",positive,1253,BRAC5603.3e,cfos
2628,"Anteromedial nucleus, ventral part",negative,0,BRAC5603.3e,cfos
2629,"Anteromedial nucleus, ventral part",positive,742,BRAC5603.3e,cfos
2630,"Anteromedial visual area, layer 1",negative,0,BRAC5603.3e,cfos
2631,"Anteromedial visual area, layer 1",positive,630,BRAC5603.3e,cfos
2632,"Anteromedial visual area, layer 2/3",negative,1,BRAC5603.3e,cfos
2633,"Anteromedial visual area, layer 2/3",positive,1737,BRAC5603.3e,cfos
2634,"Anteromedial visual area, layer 4",negative,0,BRAC5603.3e,cfos
2635,"Anteromedial visual area, layer 4",positive,535,BRAC5603.3e,cfos
2636,"Anteromedial visual area, layer 5",negative,0,BRAC5603.3e,cfos
2637,"Anteromedial visual area, layer 5",positive,1161,BRAC5603.3e,cfos
2638,"Anteromedial visual area, layer 6a",negative,0,BRAC5603.3e,cfos
2639,"Anteromedial visual area, layer 6a",positive,621,BRAC5603.3e,cfos
2640,"Anteromedial visual area, layer 6b",negative,0,BRAC5603.3e,cfos
2641,"Anteromedial visual area, layer 6b",positive,128,BRAC5603.3e,cfos
2642,Anteroventral nucleus of thalamus,negative,1,BRAC5603.3e,cfos
2643,Anteroventral nucleus of thalamus,positive,2080,BRAC5603.3e,cfos
2644,Anteroventral periventricular nucleus,negative,2,BRAC5603.3e,cfos
2645,Anteroventral periventricular nucleus,positive,486,BRAC5603.3e,cfos
2646,Anteroventral preoptic nucleus,negative,0,BRAC5603.3e,cfos
2647,Anteroventral preoptic nucleus,positive,260,BRAC5603.3e,cfos
2648,Arcuate hypothalamic nucleus,negative,22,BRAC5603.3e,cfos
2649,Arcuate hypothalamic nucleus,positive,1721,BRAC5603.3e,cfos
2650,"Basolateral amygdalar nucleus, anterior part",negative,19,BRAC5603.3e,cfos
2651,"Basolateral amygdalar nucleus, anterior part",positive,1846,BRAC5603.3e,cfos
2652,"Basolateral amygdalar nucleus, posterior part",negative,11,BRAC5603.3e,cfos
2653,"Basolateral amygdalar nucleus, posterior part",positive,1431,BRAC5603.3e,cfos
2654,"Basolateral amygdalar nucleus, ventral part",negative,19,BRAC5603.3e,cfos
2655,"Basolateral amygdalar nucleus, ventral part",positive,687,BRAC5603.3e,cfos
2656,"Basomedial amygdalar nucleus, anterior part",negative,7,BRAC5603.3e,cfos
2657,"Basomedial amygdalar nucleus, anterior part",positive,2500,BRAC5603.3e,cfos
2658,"Basomedial amygdalar nucleus, posterior part",negative,12,BRAC5603.3e,cfos
2659,"Basomedial amygdalar nucleus, posterior part",positive,1728,BRAC5603.3e,cfos
2660,Bed nuclei of the stria terminalis,negative,43,BRAC5603.3e,cfos
2661,Bed nuclei of the stria terminalis,positive,3126,BRAC5603.3e,cfos
2662,Bed nucleus of the accessory olfactory tract,negative,2,BRAC5603.3e,cfos
2663,Bed nucleus of the accessory olfactory tract,positive,184,BRAC5603.3e,cfos
2664,Bed nucleus of the anterior commissure,negative,0,BRAC5603.3e,cfos
2665,Bed nucleus of the anterior commissure,positive,41,BRAC5603.3e,cfos
2666,Caudoputamen,negative,110,BRAC5603.3e,cfos
2667,Caudoputamen,positive,36138,BRAC5603.3e,cfos
2668,"Central amygdalar nucleus, capsular part",negative,4,BRAC5603.3e,cfos
2669,"Central amygdalar nucleus, capsular part",positive,475,BRAC5603.3e,cfos
2670,"Central amygdalar nucleus, lateral part",negative,1,BRAC5603.3e,cfos
2671,"Central amygdalar nucleus, lateral part",positive,430,BRAC5603.3e,cfos
2672,"Central amygdalar nucleus, medial part",negative,12,BRAC5603.3e,cfos
2673,"Central amygdalar nucleus, medial part",positive,1620,BRAC5603.3e,cfos
2674,Central lateral nucleus of the thalamus,negative,1,BRAC5603.3e,cfos
2675,Central lateral nucleus of the thalamus,positive,1128,BRAC5603.3e,cfos
2676,Central medial nucleus of the thalamus,negative,0,BRAC5603.3e,cfos
2677,Central medial nucleus of the thalamus,positive,988,BRAC5603.3e,cfos
2678,Claustrum,negative,6,BRAC5603.3e,cfos
2679,Claustrum,positive,1204,BRAC5603.3e,cfos
2680,"Cortical amygdalar area, anterior part",negative,13,BRAC5603.3e,cfos
2681,"Cortical amygdalar area, anterior part",positive,3707,BRAC5603.3e,cfos
2682,"Cortical amygdalar area, posterior part, lateral zone",negative,67,BRAC5603.3e,cfos
2683,"Cortical amygdalar area, posterior part, lateral zone",positive,2468,BRAC5603.3e,cfos
2684,"Cortical amygdalar area, posterior part, medial zone",negative,56,BRAC5603.3e,cfos
2685,"Cortical amygdalar area, posterior part, medial zone",positive,3371,BRAC5603.3e,cfos
2686,Cortical subplate,negative,13,BRAC5603.3e,cfos
2687,Cortical subplate,positive,808,BRAC5603.3e,cfos
2688,"Dentate gyrus, granule cell layer",negative,10,BRAC5603.3e,cfos
2689,"Dentate gyrus, granule cell layer",positive,1513,BRAC5603.3e,cfos
2690,"Dentate gyrus, molecular layer",negative,16,BRAC5603.3e,cfos
2691,"Dentate gyrus, molecular layer",positive,3359,BRAC5603.3e,cfos
2692,"Dentate gyrus, polymorph layer",negative,2,BRAC5603.3e,cfos
2693,"Dentate gyrus, polymorph layer",positive,387,BRAC5603.3e,cfos
2694,Diagonal band nucleus,negative,20,BRAC5603.3e,cfos
2695,Diagonal band nucleus,positive,1848,BRAC5603.3e,cfos
2696,"Dorsal auditory area, layer 1",negative,0,BRAC5603.3e,cfos
2697,"Dorsal auditory area, layer 1",positive,411,BRAC5603.3e,cfos
2698,"Dorsal auditory area, layer 2/3",negative,0,BRAC5603.3e,cfos
2699,"Dorsal auditory area, layer 2/3",positive,1960,BRAC5603.3e,cfos
2700,"Dorsal auditory area, layer 4",negative,0,BRAC5603.3e,cfos
2701,"Dorsal auditory area, layer 4",positive,987,BRAC5603.3e,cfos
2702,"Dorsal auditory area, layer 5",negative,0,BRAC5603.3e,cfos
2703,"Dorsal auditory area, layer 5",positive,1470,BRAC5603.3e,cfos
2704,"Dorsal auditory area, layer 6a",negative,0,BRAC5603.3e,cfos
2705,"Dorsal auditory area, layer 6a",positive,703,BRAC5603.3e,cfos
2706,"Dorsal auditory area, layer 6b",negative,0,BRAC5603.3e,cfos
2707,"Dorsal auditory area, layer 6b",positive,49,BRAC5603.3e,cfos
2708,"Dorsal part of the lateral geniculate complex, core",negative,0,BRAC5603.3e,cfos
2709,"Dorsal part of the lateral geniculate complex, core",positive,955,BRAC5603.3e,cfos
2710,"Dorsal part of the lateral geniculate complex, ipsilateral zone",negative,0,BRAC5603.3e,cfos
2711,"Dorsal part of the lateral geniculate complex, ipsilateral zone",positive,185,BRAC5603.3e,cfos
2712,"Dorsal part of the lateral geniculate complex, shell",negative,1,BRAC5603.3e,cfos
2713,"Dorsal part of the lateral geniculate complex, shell",positive,311,BRAC5603.3e,cfos
2714,Dorsal premammillary nucleus,negative,0,BRAC5603.3e,cfos
2715,Dorsal premammillary nucleus,positive,333,BRAC5603.3e,cfos
2716,Dorsomedial nucleus of the hypothalamus,negative,22,BRAC5603.3e,cfos
2717,Dorsomedial nucleus of the hypothalamus,positive,2522,BRAC5603.3e,cfos
2718,Ectorhinal area/Layer 1,negative,0,BRAC5603.3e,cfos
2719,Ectorhinal area/Layer 1,positive,264,BRAC5603.3e,cfos
2720,Ectorhinal area/Layer 2/3,negative,10,BRAC5603.3e,cfos
2721,Ectorhinal area/Layer 2/3,positive,1474,BRAC5603.3e,cfos
2722,Ectorhinal area/Layer 5,negative,1,BRAC5603.3e,cfos
2723,Ectorhinal area/Layer 5,positive,1703,BRAC5603.3e,cfos
2724,Ectorhinal area/Layer 6a,negative,4,BRAC5603.3e,cfos
2725,Ectorhinal area/Layer 6a,positive,1014,BRAC5603.3e,cfos
2726,Ectorhinal area/Layer 6b,negative,1,BRAC5603.3e,cfos
2727,Ectorhinal area/Layer 6b,positive,86,BRAC5603.3e,cfos
2728,Edinger-Westphal nucleus,negative,0,BRAC5603.3e,cfos
2729,Edinger-Westphal nucleus,positive,21,BRAC5603.3e,cfos
2730,"Endopiriform nucleus, dorsal part",negative,43,BRAC5603.3e,cfos
2731,"Endopiriform nucleus, dorsal part",positive,3131,BRAC5603.3e,cfos
2732,"Endopiriform nucleus, ventral part",negative,39,BRAC5603.3e,cfos
2733,"Endopiriform nucleus, ventral part",positive,1635,BRAC5603.3e,cfos
2734,"Entorhinal area, lateral part, layer 1",negative,4,BRAC5603.3e,cfos
2735,"Entorhinal area, lateral part, layer 1",positive,760,BRAC5603.3e,cfos
2736,"Entorhinal area, lateral part, layer 2",negative,4,BRAC5603.3e,cfos
2737,"Entorhinal area, lateral part, layer 2",positive,1957,BRAC5603.3e,cfos
2738,"Entorhinal area, lateral part, layer 3",negative,3,BRAC5603.3e,cfos
2739,"Entorhinal area, lateral part, layer 3",positive,1145,BRAC5603.3e,cfos
2740,"Entorhinal area, lateral part, layer 5",negative,10,BRAC5603.3e,cfos
2741,"Entorhinal area, lateral part, layer 5",positive,795,BRAC5603.3e,cfos
2742,"Entorhinal area, lateral part, layer 6a",negative,2,BRAC5603.3e,cfos
2743,"Entorhinal area, lateral part, layer 6a",positive,332,BRAC5603.3e,cfos
2744,Ethmoid nucleus of the thalamus,negative,0,BRAC5603.3e,cfos
2745,Ethmoid nucleus of the thalamus,positive,408,BRAC5603.3e,cfos
2746,Fasciola cinerea,negative,5,BRAC5603.3e,cfos
2747,Fasciola cinerea,positive,27,BRAC5603.3e,cfos
2748,Field CA1,negative,23,BRAC5603.3e,cfos
2749,Field CA1,positive,9949,BRAC5603.3e,cfos
2750,Field CA2,negative,0,BRAC5603.3e,cfos
2751,Field CA2,positive,647,BRAC5603.3e,cfos
2752,Field CA3,negative,5,BRAC5603.3e,cfos
2753,Field CA3,positive,6824,BRAC5603.3e,cfos
2754,Fields of Forel,negative,0,BRAC5603.3e,cfos
2755,Fields of Forel,positive,587,BRAC5603.3e,cfos
2756,Fundus of striatum,negative,4,BRAC5603.3e,cfos
2757,Fundus of striatum,positive,630,BRAC5603.3e,cfos
2758,"Globus pallidus, external segment",negative,1,BRAC5603.3e,cfos
2759,"Globus pallidus, external segment",positive,1433,BRAC5603.3e,cfos
2760,"Globus pallidus, internal segment",negative,3,BRAC5603.3e,cfos
2761,"Globus pallidus, internal segment",positive,276,BRAC5603.3e,cfos
2762,"Gustatory areas, layer 1",negative,1,BRAC5603.3e,cfos
2763,"Gustatory areas, layer 1",positive,146,BRAC5603.3e,cfos
2764,"Gustatory areas, layer 2/3",negative,0,BRAC5603.3e,cfos
2765,"Gustatory areas, layer 2/3",positive,983,BRAC5603.3e,cfos
2766,"Gustatory areas, layer 4",negative,0,BRAC5603.3e,cfos
2767,"Gustatory areas, layer 4",positive,446,BRAC5603.3e,cfos
2768,"Gustatory areas, layer 5",negative,3,BRAC5603.3e,cfos
2769,"Gustatory areas, layer 5",positive,998,BRAC5603.3e,cfos
2770,"Gustatory areas, layer 6a",negative,12,BRAC5603.3e,cfos
2771,"Gustatory areas, layer 6a",positive,601,BRAC5603.3e,cfos
2772,"Gustatory areas, layer 6b",negative,0,BRAC5603.3e,cfos
2773,"Gustatory areas, layer 6b",positive,22,BRAC5603.3e,cfos
