Image	Name	Num Detections	Num Positive	Positive %
JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image	3	3	100
JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image			
JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image	1	1	100
JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image	3	3	100
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 9.ome.tif	Image			
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 10.ome.tif	Image	1	1	100
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image	2	2	100
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image	1	1	100
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image	1	1	100
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image	2	2	100
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image	2	2	100
JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image	2	2	100
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 9.ome.tif	Image			
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image	1	1	100
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image			
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image			
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image			
JKBR2.1f_5_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image			
JKBR2.1f_6_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image			
JKBR2.1f_6_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKBR2.1f_6_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
