Time,estrous_stage,Age,Body Weight,Actual time,Mouse #,LH,Prl,P4,E2,E1,T,A4
10am,P,13w,19.7,11:57,14,0.06,73.22,2.45,17.93,5.87,0.01*,0.05*
10am,P,12w 5d,18.4,10:23,75,0.64,88.94,0.05,7.36,0.5,0.01,0.13
10am,P,12w 6d,19.2,11:40,4,0.04,77.1,0.44,11.5,1.81,0.03,0.05*
10am,P,12w 5d,19.7,10:02,74,0.75,56.54,2.26,11.94,0.35*,0.01*,0.05*
10am,P,13w 1d,21,11:05,16,0.09,34.9,0.8,8.18,13.84,0.01*,0.05*
10am,P,13w,19.9,11:00 *DS,84,0.88,77.38,0.09,6.72,0.51,0.01*,0.05*
6pm,P,12w 4d,16.9,18:00,87,18.3,71,17.67,31.53,21.07,0.01*,0.08
6pm,P,18w 1d,25.7,18:00,33,24.1,75.94,30.2,41.6,0.35*,0.03,0.05*
6pm,P,12w 1d,17.5,18:37,86,5.78,141.54,24.4,31.27,0.35*,0.01*,0.32
6pm,P,12w 1d,19.2,18:20,76,19.14,89.6,29,18.04,0.35*,0.01*,0.05*
6pm,P,12w,19.5,18:05,83,7.12,118.46,19.6,14.84,7.7,0.06,0.49
6pm,P,17w 5d,21.3,18:45,35,3.6,50.04,14.53,59.33,0.35*,0.01*,0.26
6pm,P,17w 5d,23.3,18:36,39,4.8,67.02,37.2,31.6,0.35*,0.01*,0.49
6pm,P,12w 1d,18.2,18:04,80,2.43,68.84,2.88,15.84,11.84,0.03,0.05*
